,wid,links,county,city,state,population,watertype
6718,CO0144010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0144010&state=CO&source=Ground%20water%20purchased&population=275&sys_num=0,MORGAN,NOT REPORTED,CO,275,Ground water purchased
38217,PR0455334,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PR0455334&state=PR&source=Ground%20water&population=450&sys_num=0,OROCOVIS MUNICIPIO,OROCOVIS,PR,450,Ground water
47006,DE00A0326,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE00A0326&state=DE&source=Ground%20water&population=570&sys_num=0,SUSSEX,SEAFORD,DE,570,Ground water
44421,NJ1308001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1308001&state=NJ&source=Surface%20water%20purchased&population=4800&sys_num=0,MONMOUTH,BRIELLE BORO-1308,NJ,4800,Surface water purchased
37378,MI0040027,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0040027&state=MI&source=Ground%20water&population=100&sys_num=0,ALLEGAN,NOT REPORTED,MI,100,Ground water
37162,MI0005475,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0005475&state=MI&source=Surface%20water%20purchased&population=1496&sys_num=0,HURON,NOT REPORTED,MI,1496,Surface water purchased
1581,WA5372250,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5372250&state=WA&source=Surface%20water&population=51150&sys_num=0,BENTON,NOT REPORTED,WA,51150,Surface water
19319,IN5228003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5228003&state=IN&source=Ground%20water&population=17882&sys_num=0,GREENE,BLOOMFIELD,IN,17882,Ground water
44676,NJ1428001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1428001&state=NJ&source=Ground%20water&population=3342&sys_num=0,MORRIS,NETCONG BORO-1428,NJ,3342,Ground water
11401,MN1500007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1500007&state=MN&source=Ground%20water&population=152&sys_num=0,MOWER,ELKTON,MN,152,Ground water
5398,MT0000099,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0000099&state=MT&source=Ground%20water&population=30&sys_num=0,FLATHEAD,KALISPELL,MT,30,Ground water
12359,IA8227045,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA8227045&state=IA&source=Ground%20water&population=346&sys_num=0,SCOTT,DONAHUE,IA,346,Ground water
37492,MI0040516,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0040516&state=MI&source=Ground%20water&population=250&sys_num=0,DICKINSON,NOT REPORTED,MI,250,Ground water
13549,MO6010213,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO6010213&state=MO&source=Ground%20water&population=6400&sys_num=0,JEFFERSON,DESOTO,MO,6400,Ground water
6624,CO0101055,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0101055&state=CO&source=Surface%20water%20purchased&population=11678&sys_num=0,ADAMS,NOT REPORTED,CO,11678,Surface water purchased
28489,NC4392133,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC4392133&state=NC&source=Ground%20water&population=119&sys_num=0,WAKE,WAKE FOREST,NC,119,Ground water
