,wid,links,county,city,state,population,watertype
28438,NC6059009,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC6059009&state=NC&source=Surface%20water%20purchased&population=2527&sys_num=0,MARTIN,WILLIAMSTON,NC,2527,Surface water purchased
13930,MO5010577,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO5010577&state=MO&source=Ground%20water&population=1832&sys_num=0,MCDONALD,NOEL,MO,1832,Ground water
1629,WA5373750,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5373750&state=WA&source=Ground%20water&population=150&sys_num=0,WHATCOM,NOT REPORTED,WA,150,Ground water
10800,OK3006030,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3006030&state=OK&source=Surface%20water%20purchased&population=3000&sys_num=0,PAYNE,NOT REPORTED,OK,3000,Surface water purchased
11455,MN1510005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1510005&state=MN&source=Ground%20water&population=1301&sys_num=0,MURRAY,FULDA,MN,1301,Ground water
6043,MT0002531,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0002531&state=MT&source=Ground%20water&population=40&sys_num=0,BIG HORN,HARDIN,MT,40,Ground water
36503,MI0040607,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0040607&state=MI&source=Ground%20water&population=188&sys_num=0,GENESEE,NOT REPORTED,MI,188,Ground water
35787,ME0090060,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ME0090060&state=ME&source=Ground%20water&population=808&sys_num=0,AROOSTOOK,ASHLAND,ME,808,Ground water
22693,MS0580007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0580007&state=MS&source=Ground%20water&population=1350&sys_num=0,PONTOTOC,NOT REPORTED,MS,1350,Ground water
8730,NE3120824,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3120824&state=NE&source=Ground%20water&population=60&sys_num=0,LANCASTER,LINCOLN,NE,60,Ground water
13596,MO6030008,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO6030008&state=MO&source=Ground%20water&population=100&sys_num=0,LINCOLN,NOT REPORTED,MO,100,Ground water
7021,CO0122800,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0122800&state=CO&source=Surface%20water%20purchased&population=487&sys_num=0,FREMONT,NOT REPORTED,CO,487,Surface water purchased
6791,CO0157300,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0157300&state=CO&source=Ground%20water&population=55&sys_num=0,SAN MIGUEL,NOT REPORTED,CO,55,Ground water
42122,TX1011252,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1011252&state=TX&source=Ground%20water&population=2268&sys_num=0,HARRIS,NOT REPORTED,TX,2268,Ground water
36579,MI0002480,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0002480&state=MI&source=Ground%20water&population=483&sys_num=0,BARRY,FREEPORT,MI,483,Ground water
43195,NH0162410,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH0162410&state=NH&source=Ground%20water&population=111&sys_num=0,CARROLL,BARTLETT,NH,111,Ground water
2015,WA5388383,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5388383&state=WA&source=Ground%20water&population=120&sys_num=0,THURSTON,NOT REPORTED,WA,120,Ground water
25964,GA0310013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0310013&state=GA&source=Ground%20water&population=156&sys_num=0,BULLOCH,BROOKLET,GA,156,Ground water
38792,CA3301428,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA3301428&state=CA&source=Ground%20water&population=200&sys_num=0,RIVERSIDE,NOT REPORTED,CA,200,Ground water
22312,MS0180006,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0180006&state=MS&source=Ground%20water&population=1600&sys_num=0,FORREST,NOT REPORTED,MS,1600,Ground water
36351,MI0005234,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0005234&state=MI&source=Ground%20water&population=1350&sys_num=0,CASS,NOT REPORTED,MI,1350,Ground water
1511,WA5369720,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5369720&state=WA&source=Ground%20water&population=85&sys_num=0,KITSAP,NOT REPORTED,WA,85,Ground water
38344,PR0003495,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PR0003495&state=PR&source=Ground%20water&population=855&sys_num=0,MAYAGUEZ MUNICIPIO,MAYAGUEZ,PR,855,Ground water
32931,NY5405825,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5405825&state=NY&source=Ground%20water&population=110&sys_num=0,TOMPKINS,DRYDEN (T),NY,110,Ground water
41677,TX1290012,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1290012&state=TX&source=Surface%20water%20purchased&population=8904&sys_num=0,KAUFMAN,NOT REPORTED,TX,8904,Surface water purchased
3142,OR4100062,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100062&state=OR&source=Surface%20water&population=2797&sys_num=0,CLATSOP,NOT REPORTED,OR,2797,Surface water
1642,WA5309490,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5309490&state=WA&source=Ground%20water&population=730&sys_num=0,PIERCE,NOT REPORTED,WA,730,Ground water
12525,IA8439058,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA8439058&state=IA&source=Ground%20water%20purchased&population=706&sys_num=0,SIOUX,HOSPERS,IA,706,Ground water purchased
43821,MA3347000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA3347000&state=MA&source=Surface%20water&population=38120&sys_num=0,MIDDLESEX,WOBURN,MA,38120,Surface water
