Geography,Total
"Washington County, Colorado",407
"Weld County, Colorado","71,680"
"Yuma County, Colorado","2,088"
"Fairfield County, Connecticut","155,025"
"Hartford County, Connecticut","136,783"
"Litchfield County, Connecticut","8,535"
"Middlesex County, Connecticut","7,834"
"New Haven County, Connecticut","129,743"
"New London County, Connecticut","23,214"
"Tolland County, Connecticut","6,602"
"Windham County, Connecticut","11,351"
"Kent County, Delaware","9,346"
"New Castle County, Delaware","46,921"
"Sussex County, Delaware","16,954"
"District of Columbia, District of Columbia","54,749"
"Alachua County, Florida","20,752"
"Baker County, Florida",520
"Bay County, Florida","8,107"
"Bradford County, Florida","1,020"
"Brevard County, Florida","43,943"
"Broward County, Florida","438,247"
"Calhoun County, Florida",755
"Charlotte County, Florida","9,213"
"Citrus County, Florida","6,584"
"Clay County, Florida","14,609"
"Collier County, Florida","83,177"
"Columbia County, Florida","3,276"
"DeSoto County, Florida","10,425"
"Dixie County, Florida",512
"Duval County, Florida","65,398"
"Escambia County, Florida","14,061"
"Flagler County, Florida","8,251"
"Franklin County, Florida",529
"Gadsden County, Florida","4,419"
"Gilchrist County, Florida",845
"Glades County, Florida","2,720"
"Gulf County, Florida",678
"Hamilton County, Florida","1,306"
"Hardee County, Florida","11,895"
"Hendry County, Florida","19,243"
"Hernando County, Florida","17,796"
"Highlands County, Florida","17,157"
"Hillsborough County, Florida","306,635"
"Holmes County, Florida",444
"Indian River County, Florida","15,465"
"Jackson County, Florida","2,143"
"Jefferson County, Florida",546
"Lafayette County, Florida","1,076"
"Lake County, Florida","36,009"
"Lee County, Florida","113,308"
"Leon County, Florida","15,361"
"Levy County, Florida","3,047"
"Liberty County, Florida",518
"Madison County, Florida",899
"Manatee County, Florida","47,955"
"Marion County, Florida","36,137"
"Martin County, Florida","17,881"
"Miami-Dade County, Florida","1,623,859"
"Monroe County, Florida","15,071"
"Nassau County, Florida","2,380"
"Okaloosa County, Florida","12,296"
"Okeechobee County, Florida","9,561"
"Orange County, Florida","308,244"
"Osceola County, Florida","122,146"
"Palm Beach County, Florida","250,823"
"Pasco County, Florida","54,536"
"Pinellas County, Florida","73,241"
"Polk County, Florida","106,532"
"Putnam County, Florida","6,706"
"St. Johns County, Florida","9,972"
"St. Lucie County, Florida","45,995"
"Santa Rosa County, Florida","6,507"
"Sarasota County, Florida","30,033"
"Seminole County, Florida","72,457"
"Sumter County, Florida","5,582"
"Suwannee County, Florida","3,596"
"Taylor County, Florida",777
"Union County, Florida",743
"Volusia County, Florida","55,217"
"Wakulla County, Florida","1,016"
"Walton County, Florida","2,921"
"Washington County, Florida",733
"Appling County, Georgia","1,704"
"Atkinson County, Georgia","2,039"
"Bacon County, Georgia",791
"Baker County, Georgia",145
"Baldwin County, Georgia",919
"Banks County, Georgia","1,041"
"Barrow County, Georgia","6,037"
"Bartow County, Georgia","7,690"
"Ben Hill County, Georgia","1,026"
"Berrien County, Georgia",885
"Bibb County, Georgia","4,389"
"Bleckley County, Georgia",301
"Brantley County, Georgia",343
"Brooks County, Georgia",853
"Bryan County, Georgia","1,336"
"Bulloch County, Georgia","2,439"
"Burke County, Georgia",617
"Butts County, Georgia",597
"Calhoun County, Georgia",262
"Camden County, Georgia","2,590"
"Candler County, Georgia","1,227"
"Carroll County, Georgia","6,800"
"Catoosa County, Georgia","1,469"
"Charlton County, Georgia",310
"Chatham County, Georgia","14,370"
"Chattahoochee County, Georgia","1,398"
"Chattooga County, Georgia","1,043"
"Cherokee County, Georgia","20,566"
"Clarke County, Georgia","12,192"
"Clay County, Georgia",26
"Clayton County, Georgia","35,447"
"Clinch County, Georgia",236
"Cobb County, Georgia","84,330"
"Coffee County, Georgia","4,352"
"Colquitt County, Georgia","7,763"
"Columbia County, Georgia","6,175"
"Cook County, Georgia","1,024"
"Coweta County, Georgia","8,493"
"Crawford County, Georgia",301
"Crisp County, Georgia",748
"Dade County, Georgia",292
"Dawson County, Georgia",920
"Decatur County, Georgia","1,404"
"DeKalb County, Georgia","67,824"
"Dodge County, Georgia",732
"Dooly County, Georgia",862
"Dougherty County, Georgia","2,073"
"Douglas County, Georgia","11,125"
"Early County, Georgia",171
"Echols County, Georgia","1,183"
"Effingham County, Georgia","1,501"
"Elbert County, Georgia",967
"Emanuel County, Georgia",921
"Evans County, Georgia","1,441"
"Fannin County, Georgia",431
"Fayette County, Georgia","6,760"
"Floyd County, Georgia","8,987"
"Forsyth County, Georgia","16,550"
"Franklin County, Georgia",866
"Fulton County, Georgia","72,566"
"Gilmer County, Georgia","2,677"
"Glascock County, Georgia",33
"Glynn County, Georgia","5,126"
"Gordon County, Georgia","7,738"
"Grady County, Georgia","2,500"
"Greene County, Georgia",893
"Gwinnett County, Georgia","162,035"
"Habersham County, Georgia","5,333"
"Hall County, Georgia","46,906"
"Hancock County, Georgia",139
"Haralson County, Georgia",318
"Harris County, Georgia",872
"Hart County, Georgia",786
"Heard County, Georgia",223
"Henry County, Georgia","11,813"
"Houston County, Georgia","8,515"
"Irwin County, Georgia",228
"Jackson County, Georgia","3,736"
"Jasper County, Georgia",510
"Jeff Davis County, Georgia","1,577"
"Jefferson County, Georgia",517
"Jenkins County, Georgia",334
"Johnson County, Georgia",186
"Jones County, Georgia",315
"Lamar County, Georgia",341
"Lanier County, Georgia",461
"Laurens County, Georgia","1,143"
"Lee County, Georgia",560
"Liberty County, Georgia","6,159"
"Lincoln County, Georgia",98
"Long County, Georgia","1,778"
"Lowndes County, Georgia","5,238"
"Lumpkin County, Georgia","1,344"
"McDuffie County, Georgia",475
"McIntosh County, Georgia",227
"Macon County, Georgia",527
"Madison County, Georgia","1,139"
"Marion County, Georgia",570
"Meriwether County, Georgia",347
"Miller County, Georgia",93
"Mitchell County, Georgia","1,028"
"Monroe County, Georgia",535
"Montgomery County, Georgia",480
"Morgan County, Georgia",494
"Murray County, Georgia","5,154"
"Muscogee County, Georgia","12,110"
"Newton County, Georgia","4,635"
"Oconee County, Georgia","1,436"
"Oglethorpe County, Georgia",546
"Paulding County, Georgia","7,264"
"Peach County, Georgia","1,890"
"Pickens County, Georgia",819
"Pierce County, Georgia",887
"Pike County, Georgia",193
"Polk County, Georgia","4,885"
"Pulaski County, Georgia",465
"Putnam County, Georgia","1,347"
"Quitman County, Georgia",34
"Rabun County, Georgia","1,301"
"Randolph County, Georgia",119
"Richmond County, Georgia","8,207"
"Rockdale County, Georgia","8,063"
"Schley County, Georgia",161
"Screven County, Georgia",180
"Seminole County, Georgia",204
"Spalding County, Georgia","2,451"
"Stephens County, Georgia",633
"Stewart County, Georgia","1,454"
"Sumter County, Georgia","1,717"
"Talbot County, Georgia",91
"Taliaferro County, Georgia",35
"Tattnall County, Georgia","2,502"
"Taylor County, Georgia",164
"Telfair County, Georgia","2,026"
"Terrell County, Georgia",157
"Thomas County, Georgia","1,275"
"Tift County, Georgia","4,037"
"Toombs County, Georgia","3,055"
"Towns County, Georgia",206
"Treutlen County, Georgia",103
"Troup County, Georgia","2,170"
"Turner County, Georgia",282
"Twiggs County, Georgia",124
"Union County, Georgia",519
"Upson County, Georgia",588
"Walker County, Georgia","1,113"
"Walton County, Georgia","2,683"
"Ware County, Georgia","1,207"
"Warren County, Georgia",54
"Washington County, Georgia",407
"Wayne County, Georgia","1,719"
"Webster County, Georgia",98
"Wheeler County, Georgia",356
"White County, Georgia",647
"Whitfield County, Georgia","32,471"
"Wilcox County, Georgia",338
"Wilkes County, Georgia",361
"Wilkinson County, Georgia",214
"Worth County, Georgia",335
"Hawaii County, Hawaii","21,383"
"Honolulu County, Hawaii","77,433"
"Kalawao County, Hawaii",1
"Kauai County, Hawaii","6,315"
"Maui County, Hawaii","15,710"
"Ada County, Idaho","27,905"
"Adams County, Idaho",94
"Bannock County, Idaho","5,587"
"Bear Lake County, Idaho",216
"Benewah County, Idaho",235
"Bingham County, Idaho","7,864"
"Blaine County, Idaho","4,272"
"Boise County, Idaho",249
"Bonner County, Idaho",911
"Bonneville County, Idaho","11,912"
"Boundary County, Idaho",402
"Butte County, Idaho",119
"Camas County, Idaho",75
"Canyon County, Idaho","45,069"
"Caribou County, Idaho",336
"Cassia County, Idaho","5,724"
"Clark County, Idaho",398
"Clearwater County, Idaho",268
"Custer County, Idaho",176
"Elmore County, Idaho","4,118"
"Franklin County, Idaho",838
"Fremont County, Idaho","1,694"
"Gem County, Idaho","1,336"
"Gooding County, Idaho","4,344"
"Idaho County, Idaho",421
"Jefferson County, Idaho","2,641"
"Jerome County, Idaho","6,929"
"Kootenai County, Idaho","5,268"
"Latah County, Idaho","1,326"
"Lemhi County, Idaho",181
"Lewis County, Idaho",128
"Lincoln County, Idaho","1,476"
"Madison County, Idaho","2,218"
"Minidoka County, Idaho","6,493"
"Nez Perce County, Idaho","1,109"
"Oneida County, Idaho",126
"Owyhee County, Idaho","2,979"
"Payette County, Idaho","3,363"
"Power County, Idaho","2,328"
"Shoshone County, Idaho",380
"Teton County, Idaho","1,721"
"Twin Falls County, Idaho","10,570"
"Valley County, Idaho",386
"Washington County, Idaho","1,716"
"Adams County, Illinois",776
"Alexander County, Illinois",155
"Bond County, Illinois",547
"Boone County, Illinois","10,967"
"Brown County, Illinois",402
"Bureau County, Illinois","2,695"
"Calhoun County, Illinois",40
"Carroll County, Illinois",437
"Cass County, Illinois","2,291"
"Champaign County, Illinois","10,607"
"Christian County, Illinois",471
"Clark County, Illinois",172
"Clay County, Illinois",151
"Clinton County, Illinois","1,058"
"Coles County, Illinois","1,155"
"Cook County, Illinois","1,244,762"
"Crawford County, Illinois",362
"Cumberland County, Illinois",75
"DeKalb County, Illinois","10,647"
"De Witt County, Illinois",354
"Douglas County, Illinois","1,210"
