Geography,Total
"Hunterdon County, New Jersey","6,722"
"Mercer County, New Jersey","55,318"
"Middlesex County, New Jersey","148,975"
"Monmouth County, New Jersey","60,939"
"Morris County, New Jersey","56,482"
"Ocean County, New Jersey","47,783"
"Passaic County, New Jersey","185,677"
"Salem County, New Jersey","4,507"
"Somerset County, New Jersey","42,091"
"Sussex County, New Jersey","9,617"
"Union County, New Jersey","146,704"
"Warren County, New Jersey","7,659"
"Bernalillo County, New Mexico","317,089"
"Catron County, New Mexico",709
"Chaves County, New Mexico","34,139"
"Cibola County, New Mexico","9,934"
"Colfax County, New Mexico","6,488"
"Curry County, New Mexico","19,117"
"De Baca County, New Mexico",779
"Do–a Ana County, New Mexico","137,514"
"Eddy County, New Mexico","23,731"
"Grant County, New Mexico","14,252"
"Guadalupe County, New Mexico","3,730"
"Harding County, New Mexico",299
"Hidalgo County, New Mexico","2,769"
"Lea County, New Mexico","33,063"
"Lincoln County, New Mexico","6,110"
"Los Alamos County, New Mexico","2,646"
"Luna County, New Mexico","15,423"
"McKinley County, New Mexico","9,473"
"Mora County, New Mexico","3,953"
"Otero County, New Mexico","22,026"
"Quay County, New Mexico","3,834"
"Rio Arriba County, New Mexico","28,703"
"Roosevelt County, New Mexico","7,913"
"Sandoval County, New Mexico","46,129"
"San Juan County, New Mexico","24,776"
"San Miguel County, New Mexico","22,583"
"Santa Fe County, New Mexico","73,015"
"Sierra County, New Mexico","3,352"
"Socorro County, New Mexico","8,664"
"Taos County, New Mexico","18,381"
"Torrance County, New Mexico","6,399"
"Union County, New Mexico","1,805"
"Valencia County, New Mexico","44,605"
"Albany County, New York","14,917"
"Allegany County, New York",670
"Bronx County, New York","741,413"
"Broome County, New York","6,778"
"Cattaraugus County, New York","1,345"
"Cayuga County, New York","1,896"
"Chautauqua County, New York","8,241"
"Chemung County, New York","2,240"
"Chenango County, New York",929
"Clinton County, New York","2,054"
"Columbia County, New York","2,454"
"Cortland County, New York","1,094"
"Delaware County, New York","1,560"
"Dutchess County, New York","31,267"
"Erie County, New York","41,731"
"Essex County, New York",993
"Franklin County, New York","1,506"
"Fulton County, New York","1,263"
"Genesee County, New York","1,616"
"Greene County, New York","2,419"
"Hamilton County, New York",51
"Herkimer County, New York","1,040"
"Jefferson County, New York","6,143"
"Kings County, New York","496,285"
"Lewis County, New York",357
"Livingston County, New York","1,802"
"Madison County, New York","1,316"
"Monroe County, New York","54,005"
"Montgomery County, New York","5,654"
"Nassau County, New York","195,355"
"New York County, New York","403,577"
"Niagara County, New York","4,694"
"Oneida County, New York","10,819"
"Onondaga County, New York","18,829"
"Ontario County, New York","3,679"
"Orange County, New York","67,185"
"Orleans County, New York","1,757"
"Oswego County, New York","2,552"
"Otsego County, New York","1,921"
"Putnam County, New York","11,661"
"Queens County, New York","613,750"
"Rensselaer County, New York","6,080"
"Richmond County, New York","81,051"
"Rockland County, New York","48,783"
"St. Lawrence County, New York","2,146"
"Saratoga County, New York","5,279"
"Schenectady County, New York","8,827"
"Schoharie County, New York",924
"Schuyler County, New York",234
"Seneca County, New York",952
"Steuben County, New York","1,371"
"Suffolk County, New York","246,239"
"Sullivan County, New York","10,554"
"Tioga County, New York",694
"Tompkins County, New York","4,264"
"Ulster County, New York","15,909"
"Warren County, New York","1,178"
"Washington County, New York","1,446"
"Wayne County, New York","3,476"
"Westchester County, New York","207,032"
"Wyoming County, New York","1,244"
"Yates County, New York",421
"Alamance County, North Carolina","16,639"
"Alexander County, North Carolina","1,601"
"Alleghany County, North Carolina","1,004"
"Anson County, North Carolina",812
"Ashe County, North Carolina","1,311"
"Avery County, North Carolina",797
"Beaufort County, North Carolina","3,166"
"Bertie County, North Carolina",267
"Bladen County, North Carolina","2,502"
"Brunswick County, North Carolina","5,549"
"Buncombe County, North Carolina","14,254"
"Burke County, North Carolina","4,634"
"Cabarrus County, North Carolina","16,767"
"Caldwell County, North Carolina","3,796"
"Camden County, North Carolina",215
"Carteret County, North Carolina","2,241"
"Caswell County, North Carolina",744
"Catawba County, North Carolina","13,032"
"Chatham County, North Carolina","8,228"
"Cherokee County, North Carolina",688
"Chowan County, North Carolina",467
"Clay County, North Carolina",258
"Cleveland County, North Carolina","2,756"
"Columbus County, North Carolina","2,662"
"Craven County, North Carolina","6,272"
"Cumberland County, North Carolina","30,190"
"Currituck County, North Carolina",704
"Dare County, North Carolina","2,210"
"Davidson County, North Carolina","10,408"
"Davie County, North Carolina","2,496"
"Duplin County, North Carolina","12,059"
"Durham County, North Carolina","36,077"
"Edgecombe County, North Carolina","2,104"
"Forsyth County, North Carolina","41,775"
"Franklin County, North Carolina","4,776"
"Gaston County, North Carolina","12,201"
"Gates County, North Carolina",173
"Graham County, North Carolina",194
"Granville County, North Carolina","4,482"
"Greene County, North Carolina","3,054"
"Guilford County, North Carolina","34,826"
"Halifax County, North Carolina","1,152"
"Harnett County, North Carolina","12,359"
"Haywood County, North Carolina","1,999"
"Henderson County, North Carolina","10,424"
"Hertford County, North Carolina",644
"Hoke County, North Carolina","5,823"
"Hyde County, North Carolina",411
"Iredell County, North Carolina","10,844"
"Jackson County, North Carolina","2,038"
"Johnston County, North Carolina","21,814"
"Jones County, North Carolina",398
"Lee County, North Carolina","10,576"
"Lenoir County, North Carolina","3,917"
"Lincoln County, North Carolina","5,238"
"McDowell County, North Carolina","2,392"
"Macon County, North Carolina","2,230"
"Madison County, North Carolina",423
"Martin County, North Carolina",769
"Mecklenburg County, North Carolina","111,944"
"Mitchell County, North Carolina",631
"Montgomery County, North Carolina","3,926"
"Moore County, North Carolina","5,261"
"Nash County, North Carolina","6,015"
"New Hanover County, North Carolina","10,716"
"Northampton County, North Carolina",305
"Onslow County, North Carolina","17,896"
"Orange County, North Carolina","11,017"
"Pamlico County, North Carolina",412
"Pasquotank County, North Carolina","1,642"
"Pender County, North Carolina","3,194"
"Perquimans County, North Carolina",286
"Person County, North Carolina","1,593"
"Pitt County, North Carolina","9,202"
"Polk County, North Carolina","1,122"
"Randolph County, North Carolina","14,698"
"Richmond County, North Carolina","2,741"
"Robeson County, North Carolina","10,932"
"Rockingham County, North Carolina","5,159"
"Rowan County, North Carolina","10,644"
"Rutherford County, North Carolina","2,397"
"Sampson County, North Carolina","10,440"
"Scotland County, North Carolina",754
"Stanly County, North Carolina","2,166"
"Stokes County, North Carolina","1,254"
"Surry County, North Carolina","7,155"
"Swain County, North Carolina",540
"Transylvania County, North Carolina",964
"Tyrrell County, North Carolina",240
"Union County, North Carolina","20,967"
"Vance County, North Carolina","3,051"
"Wake County, North Carolina","87,922"
"Warren County, North Carolina",692
"Washington County, North Carolina",466
"Watauga County, North Carolina","1,713"
"Wayne County, North Carolina","12,162"
"Wilkes County, North Carolina","3,772"
"Wilson County, North Carolina","7,724"
"Yadkin County, North Carolina","3,749"
"Yancey County, North Carolina",814
"Adams County, North Dakota",20
"Barnes County, North Dakota",123
"Benson County, North Dakota",77
"Billings County, North Dakota",4
"Bottineau County, North Dakota",82
"Bowman County, North Dakota",78
"Burke County, North Dakota",37
"Burleigh County, North Dakota",986
"Cass County, North Dakota","3,015"
"Cavalier County, North Dakota",24
"Dickey County, North Dakota",100
"Divide County, North Dakota",30
"Dunn County, North Dakota",38
"Eddy County, North Dakota",52
"Emmons County, North Dakota",34
"Foster County, North Dakota",29
"Golden Valley County, North Dakota",35
"Grand Forks County, North Dakota","1,951"
"Grant County, North Dakota",7
"Griggs County, North Dakota",9
"Hettinger County, North Dakota",12
"Kidder County, North Dakota",71
"LaMoure County, North Dakota",34
"Logan County, North Dakota",12
"McHenry County, North Dakota",80
"McIntosh County, North Dakota",38
"McKenzie County, North Dakota",139
"McLean County, North Dakota",111
"Mercer County, North Dakota",121
"Morton County, North Dakota",400
"Mountrail County, North Dakota",286
"Nelson County, North Dakota",33
"Oliver County, North Dakota",19
"Pembina County, North Dakota",190
"Pierce County, North Dakota",44
"Ramsey County, North Dakota",137
"Ransom County, North Dakota",66
"Renville County, North Dakota",24
"Richland County, North Dakota",271
"Rolette County, North Dakota",133
"Sargent County, North Dakota",51
"Sheridan County, North Dakota",16
"Sioux County, North Dakota",82
"Slope County, North Dakota",12
"Stark County, North Dakota",454
"Steele County, North Dakota",20
"Stutsman County, North Dakota",361
"Towner County, North Dakota",10
"Traill County, North Dakota",214
"Walsh County, North Dakota",969
"Ward County, North Dakota","1,869"
"Wells County, North Dakota",21
"Williams County, North Dakota",436
"Adams County, Ohio",243
"Allen County, Ohio","2,513"
"Ashland County, Ohio",501
"Ashtabula County, Ohio","3,441"
"Athens County, Ohio","1,002"
"Auglaize County, Ohio",543
"Belmont County, Ohio",429
"Brown County, Ohio",269
"Butler County, Ohio","14,670"
"Carroll County, Ohio",238
"Champaign County, Ohio",451
"Clark County, Ohio","3,805"
"Clermont County, Ohio","2,896"
"Clinton County, Ohio",559
"Columbiana County, Ohio","1,348"
"Coshocton County, Ohio",279
"Crawford County, Ohio",533
"Cuyahoga County, Ohio","61,270"
"Darke County, Ohio",646
"Defiance County, Ohio","3,409"
"Delaware County, Ohio","3,669"
"Erie County, Ohio","2,604"
"Fairfield County, Ohio","2,510"
"Fayette County, Ohio",520
"Franklin County, Ohio","55,718"
"Fulton County, Ohio","3,341"
"Gallia County, Ohio",275
"Geauga County, Ohio","1,001"
"Greene County, Ohio","3,439"
"Guernsey County, Ohio",349
"Hamilton County, Ohio","20,607"
"Hancock County, Ohio","3,363"
"Hardin County, Ohio",407
"Harrison County, Ohio",79
"Henry County, Ohio","1,860"
"Highland County, Ohio",319
"Hocking County, Ohio",198
"Holmes County, Ohio",329
"Huron County, Ohio","3,333"
"Jackson County, Ohio",265
"Jefferson County, Ohio",773
"Knox County, Ohio",737
"Lake County, Ohio","7,825"
"Lawrence County, Ohio",445
"Licking County, Ohio","2,312"
"Logan County, Ohio",539
"Lorain County, Ohio","25,290"
"Lucas County, Ohio","26,974"
"Madison County, Ohio",622
"Mahoning County, Ohio","11,136"
"Marion County, Ohio","1,503"
"Medina County, Ohio","2,747"
"Meigs County, Ohio",115
"Mercer County, Ohio",614
"Miami County, Ohio","1,341"
"Monroe County, Ohio",59
"Montgomery County, Ohio","12,177"
"Morgan County, Ohio",97
"Morrow County, Ohio",380
"Muskingum County, Ohio",650
"Noble County, Ohio",52
"Ottawa County, Ohio","1,755"
"Paulding County, Ohio",838
"Perry County, Ohio",195
"Pickaway County, Ohio",588
"Pike County, Ohio",207
"Portage County, Ohio","2,073"
"Preble County, Ohio",254
"Putnam County, Ohio","1,890"
"Richland County, Ohio","1,732"
"Ross County, Ohio",748
"Sandusky County, Ohio","5,435"
"Scioto County, Ohio",888
"Seneca County, Ohio","2,524"
"Shelby County, Ohio",661
"Stark County, Ohio","5,965"
"Summit County, Ohio","8,660"
"Trumbull County, Ohio","2,801"
"Tuscarawas County, Ohio","1,767"
"Union County, Ohio",661
"Van Wert County, Ohio",740
"Vinton County, Ohio",71
"Warren County, Ohio","4,784"
"Washington County, Ohio",461
"Wayne County, Ohio","1,800"
"Williams County, Ohio","1,390"
"Wood County, Ohio","5,663"
"Wyandot County, Ohio",504
"Adair County, Oklahoma","1,197"
"Alfalfa County, Oklahoma",224
"Atoka County, Oklahoma",409
"Beaver County, Oklahoma","1,135"
"Beckham County, Oklahoma","2,619"
"Blaine County, Oklahoma","2,873"
"Bryan County, Oklahoma","2,107"
"Caddo County, Oklahoma","2,995"
"Canadian County, Oklahoma","7,794"
"Carter County, Oklahoma","2,528"
"Cherokee County, Oklahoma","2,952"
"Choctaw County, Oklahoma",427
"Cimarron County, Oklahoma",514
"Cleveland County, Oklahoma","17,892"
"Coal County, Oklahoma",152
"Comanche County, Oklahoma","13,896"
"Cotton County, Oklahoma",344
"Craig County, Oklahoma",370
"Creek County, Oklahoma","2,152"
"Custer County, Oklahoma","3,830"
"Delaware County, Oklahoma","1,248"
"Dewey County, Oklahoma",231
"Ellis County, Oklahoma",251
"Garfield County, Oklahoma","5,353"
"Garvin County, Oklahoma","1,713"
"Grady County, Oklahoma","2,405"
"Grant County, Oklahoma",158
"Greer County, Oklahoma",609
"Harmon County, Oklahoma",756
"Harper County, Oklahoma",645
"Haskell County, Oklahoma",426
"Hughes County, Oklahoma",530
"Jackson County, Oklahoma","5,538"
"Jefferson County, Oklahoma",552
"Johnston County, Oklahoma",423
"Kay County, Oklahoma","2,992"
"Kingfisher County, Oklahoma","2,022"
"Kiowa County, Oklahoma",832
"Latimer County, Oklahoma",293
"Le Flore County, Oklahoma","3,454"
"Lincoln County, Oklahoma",838
"Logan County, Oklahoma","2,170"
"Love County, Oklahoma","1,113"
"McClain County, Oklahoma","2,400"
"McCurtain County, Oklahoma","1,552"
"McIntosh County, Oklahoma",390
"Major County, Oklahoma",565
"Marshall County, Oklahoma","2,212"
"Mayes County, Oklahoma","1,097"
"Murray County, Oklahoma",662
"Muskogee County, Oklahoma","3,688"
"Noble County, Oklahoma",300
"Nowata County, Oklahoma",240
"Okfuskee County, Oklahoma",356
"Oklahoma County, Oklahoma","108,543"
"Okmulgee County, Oklahoma","1,293"
"Osage County, Oklahoma","1,366"
"Ottawa County, Oklahoma","1,499"
"Pawnee County, Oklahoma",336
"Payne County, Oklahoma","2,990"
"Pittsburg County, Oklahoma","1,786"
"Pontotoc County, Oklahoma","1,523"
"Pottawatomie County, Oklahoma","2,878"
"Pushmataha County, Oklahoma",280
"Roger Mills County, Oklahoma",165
"Rogers County, Oklahoma","3,229"
"Seminole County, Oklahoma",903
"Sequoyah County, Oklahoma","1,438"
"Stephens County, Oklahoma","2,790"
"Texas County, Oklahoma","8,659"
"Tillman County, Oklahoma","1,783"
"Tulsa County, Oklahoma","66,582"
"Wagoner County, Oklahoma","3,488"
"Washington County, Oklahoma","2,556"
"Washita County, Oklahoma",944
"Woods County, Oklahoma",424
"Woodward County, Oklahoma","2,128"
"Baker County, Oregon",528
"Benton County, Oregon","5,467"
"Clackamas County, Oregon","29,138"
"Clatsop County, Oregon","2,838"
"Columbia County, Oregon","1,987"
"Coos County, Oregon","3,391"
"Crook County, Oregon","1,463"
"Curry County, Oregon","1,201"
"Deschutes County, Oregon","11,718"
"Douglas County, Oregon","5,055"
"Gilliam County, Oregon",88
"Grant County, Oregon",207
"Harney County, Oregon",294
"Hood River County, Oregon","6,589"
"Jackson County, Oregon","21,745"
"Jefferson County, Oregon","4,195"
"Josephine County, Oregon","5,251"
"Klamath County, Oregon","6,915"
"Lake County, Oregon",545
"Lane County, Oregon","26,167"
"Lincoln County, Oregon","3,655"
"Linn County, Oregon","9,127"
"Malheur County, Oregon","9,867"
"Marion County, Oregon","76,594"
"Morrow County, Oregon","3,497"
"Multnomah County, Oregon","80,138"
"Polk County, Oregon","9,088"
"Sherman County, Oregon",98
"Tillamook County, Oregon","2,284"
"Umatilla County, Oregon","18,107"
"Union County, Oregon","1,002"
"Wallowa County, Oregon",156
"Wasco County, Oregon","3,743"
"Washington County, Oregon","83,270"
"Wheeler County, Oregon",62
"Yamhill County, Oregon","14,592"
"Adams County, Pennsylvania","6,115"
"Allegheny County, Pennsylvania","19,070"
"Armstrong County, Pennsylvania",366
"Beaver County, Pennsylvania","1,998"
"Bedford County, Pennsylvania",450
"Berks County, Pennsylvania","67,355"
"Blair County, Pennsylvania","1,230"
"Bradford County, Pennsylvania",702
"Bucks County, Pennsylvania","26,782"
"Butler County, Pennsylvania","1,941"
"Cambria County, Pennsylvania","2,006"
"Cameron County, Pennsylvania",19
"Carbon County, Pennsylvania","2,145"
"Centre County, Pennsylvania","3,690"
"Chester County, Pennsylvania","32,503"
"Clarion County, Pennsylvania",245
"Clearfield County, Pennsylvania","1,907"
"Clinton County, Pennsylvania",437
"Columbia County, Pennsylvania","1,349"
"Crawford County, Pennsylvania",823
"Cumberland County, Pennsylvania","6,448"
"Dauphin County, Pennsylvania","18,795"
"Delaware County, Pennsylvania","16,537"
"Elk County, Pennsylvania",183
"Erie County, Pennsylvania","9,518"
"Fayette County, Pennsylvania","1,049"
"Forest County, Pennsylvania",418
"Franklin County, Pennsylvania","6,438"
"Fulton County, Pennsylvania",123
"Greene County, Pennsylvania",465
"Huntingdon County, Pennsylvania",727
"Indiana County, Pennsylvania",947
"Jefferson County, Pennsylvania",275
"Juniata County, Pennsylvania",623
"Lackawanna County, Pennsylvania","10,682"
"Lancaster County, Pennsylvania","44,930"
"Lawrence County, Pennsylvania",931
"Lebanon County, Pennsylvania","12,410"
"Lehigh County, Pennsylvania","65,615"
"Luzerne County, Pennsylvania","21,491"
"Lycoming County, Pennsylvania","1,559"
"McKean County, Pennsylvania",757
"Mercer County, Pennsylvania","1,248"
"Mifflin County, Pennsylvania",534
"Monroe County, Pennsylvania","22,288"
"Montgomery County, Pennsylvania","34,233"
"Montour County, Pennsylvania",324
"Northampton County, Pennsylvania","31,179"
"Northumberland County, Pennsylvania","2,253"
"Perry County, Pennsylvania",588
"Philadelphia County, Pennsylvania","187,611"
"Pike County, Pennsylvania","5,173"
"Potter County, Pennsylvania",181
"Schuylkill County, Pennsylvania","4,080"
"Snyder County, Pennsylvania",657
"Somerset County, Pennsylvania",840
"Sullivan County, Pennsylvania",92
"Susquehanna County, Pennsylvania",564
"Tioga County, Pennsylvania",437
"Union County, Pennsylvania","2,346"
"Venango County, Pennsylvania",478
"Warren County, Pennsylvania",305
"Washington County, Pennsylvania","2,366"
"Wayne County, Pennsylvania","1,816"
"Westmoreland County, Pennsylvania","3,179"
"Wyoming County, Pennsylvania",437
"York County, Pennsylvania","24,397"
"Bristol County, Rhode Island",989
"Kent County, Rhode Island","5,309"
"Newport County, Rhode Island","3,512"
"Providence County, Rhode Island","117,819"
"Washington County, Rhode Island","3,026"
"Abbeville County, South Carolina",255
"Aiken County, South Carolina","7,824"
"Allendale County, South Carolina",239
"Anderson County, South Carolina","5,447"
"Bamberg County, South Carolina",258
"Barnwell County, South Carolina",411
"Beaufort County, South Carolina","19,567"
"Berkeley County, South Carolina","10,755"
"Calhoun County, South Carolina",458
"Charleston County, South Carolina","18,877"
"Cherokee County, South Carolina","2,032"
"Chester County, South Carolina",479
"Chesterfield County, South Carolina","1,666"
"Clarendon County, South Carolina",899
"Colleton County, South Carolina","1,094"
"Darlington County, South Carolina","1,140"
"Dillon County, South Carolina",833
"Dorchester County, South Carolina","6,075"
"Edgefield County, South Carolina","1,414"
"Fairfield County, South Carolina",374
"Florence County, South Carolina","3,030"
"Georgetown County, South Carolina","1,867"
"Greenville County, South Carolina","36,495"
"Greenwood County, South Carolina","3,789"
"Hampton County, South Carolina",744
"Horry County, South Carolina","16,683"
"Jasper County, South Carolina","3,752"
"Kershaw County, South Carolina","2,298"
"Lancaster County, South Carolina","3,384"
"Laurens County, South Carolina","2,729"
"Lee County, South Carolina",334
"Lexington County, South Carolina","14,529"
"McCormick County, South Carolina",81
"Marion County, South Carolina",791
"Marlboro County, South Carolina",800
"Newberry County, South Carolina","2,690"
"Oconee County, South Carolina","3,349"
"Orangeburg County, South Carolina","1,767"
"Pickens County, South Carolina","3,743"
"Richland County, South Carolina","18,637"
"Saluda County, South Carolina","2,857"
"Spartanburg County, South Carolina","16,658"
"Sumter County, South Carolina","3,532"
"Union County, South Carolina",282
"Williamsburg County, South Carolina",689
"York County, South Carolina","10,075"
"Aurora County, South Dakota",101
"Beadle County, South Dakota","1,337"
"Bennett County, South Dakota",67
"Bon Homme County, South Dakota",130
"Brookings County, South Dakota",636
"Brown County, South Dakota",496
"Brule County, South Dakota",75
"Buffalo County, South Dakota",35
"Butte County, South Dakota",306
"Campbell County, South Dakota",20
"Charles Mix County, South Dakota",152
"Clark County, South Dakota",63
"Clay County, South Dakota",277
"Codington County, South Dakota",433
"Corson County, South Dakota",106
"Custer County, South Dakota",182
"Davison County, South Dakota",294
"Day County, South Dakota",62
"Deuel County, South Dakota",86
"Dewey County, South Dakota",98
"Douglas County, South Dakota",23
"Edmunds County, South Dakota",58
"Fall River County, South Dakota",159
"Faulk County, South Dakota",18
"Grant County, South Dakota",168
"Gregory County, South Dakota",38
"Haakon County, South Dakota",17
"Hamlin County, South Dakota",149
"Hand County, South Dakota",19
"Hanson County, South Dakota",15
"Harding County, South Dakota",20
"Hughes County, South Dakota",306
"Hutchinson County, South Dakota",120
"Hyde County, South Dakota",15
"Jackson County, South Dakota",38
"Jerauld County, South Dakota",84
"Jones County, South Dakota",13
"Kingsbury County, South Dakota",72
"Lake County, South Dakota",175
"Lawrence County, South Dakota",612
"Lincoln County, South Dakota",553
"Lyman County, South Dakota",42
"McCook County, South Dakota",99
"McPherson County, South Dakota",25
"Marshall County, South Dakota",317
"Meade County, South Dakota",773
"Mellette County, South Dakota",30
"Miner County, South Dakota",31
"Minnehaha County, South Dakota","6,982"
"Moody County, South Dakota",111
"Pennington County, South Dakota","4,044"
"Perkins County, South Dakota",20
"Potter County, South Dakota",17
"Roberts County, South Dakota",126
"Sanborn County, South Dakota",28
"Shannon County, South Dakota",298
"Spink County, South Dakota",71
"Stanley County, South Dakota",21
"Sully County, South Dakota",12
"Todd County, South Dakota",227
"Tripp County, South Dakota",60
"Turner County, South Dakota",112
"Union County, South Dakota",305
"Walworth County, South Dakota",39
"Yankton County, South Dakota",614
"Ziebach County, South Dakota",87
"Anderson County, Tennessee","1,768"
"Bedford County, Tennessee","5,083"
"Benton County, Tennessee",291
"Bledsoe County, Tennessee",255
"Blount County, Tennessee","3,441"
"Bradley County, Tennessee","4,664"
"Campbell County, Tennessee",472
"Cannon County, Tennessee",210
"Carroll County, Tennessee",595
"Carter County, Tennessee",890
"Cheatham County, Tennessee",910
"Chester County, Tennessee",343
"Claiborne County, Tennessee",265
"Clay County, Tennessee",126
"Cocke County, Tennessee",628
"Coffee County, Tennessee","2,007"
"Crockett County, Tennessee","1,274"
"Cumberland County, Tennessee","1,307"
"Davidson County, Tennessee","61,117"
"Decatur County, Tennessee",308
"DeKalb County, Tennessee","1,239"
"Dickson County, Tennessee","1,573"
"Dyer County, Tennessee","1,002"
"Fayette County, Tennessee",858
"Fentress County, Tennessee",189
"Franklin County, Tennessee","1,029"
"Gibson County, Tennessee","1,012"
"Giles County, Tennessee",471
"Grainger County, Tennessee",530
"Greene County, Tennessee","1,690"
"Grundy County, Tennessee",113
"Hamblen County, Tennessee","6,711"
"Hamilton County, Tennessee","14,993"
"Hancock County, Tennessee",13
"Hardeman County, Tennessee",376
"Hardin County, Tennessee",497
"Hawkins County, Tennessee",669
"Haywood County, Tennessee",723
"Henderson County, Tennessee",532
"Henry County, Tennessee",553
"Hickman County, Tennessee",455
"Houston County, Tennessee",129
"Humphreys County, Tennessee",278
"Jackson County, Tennessee",164
"Jefferson County, Tennessee","1,619"
"Johnson County, Tennessee",269
"Knox County, Tennessee","15,012"
"Lake County, Tennessee",136
"Lauderdale County, Tennessee",564
"Lawrence County, Tennessee",689
"Lewis County, Tennessee",221
"Lincoln County, Tennessee",885
"Loudon County, Tennessee","3,395"
"McMinn County, Tennessee","1,482"
"McNairy County, Tennessee",396
"Macon County, Tennessee",919
"Madison County, Tennessee","3,306"
"Marion County, Tennessee",361
"Marshall County, Tennessee","1,386"
"Maury County, Tennessee","3,909"
"Meigs County, Tennessee",176
"Monroe County, Tennessee","1,448"
"Montgomery County, Tennessee","13,752"
"Moore County, Tennessee",70
"Morgan County, Tennessee",188
"Obion County, Tennessee",999
"Overton County, Tennessee",202
"Perry County, Tennessee",131
"Pickett County, Tennessee",67
"Polk County, Tennessee",233
"Putnam County, Tennessee","3,858"
"Rhea County, Tennessee","1,187"
"Roane County, Tennessee",710
"Robertson County, Tennessee","3,903"
"Rutherford County, Tennessee","17,500"
"Scott County, Tennessee",120
"Sequatchie County, Tennessee",462
"Sevier County, Tennessee","4,787"
"Shelby County, Tennessee","52,092"
"Smith County, Tennessee",417
"Stewart County, Tennessee",250
"Sullivan County, Tennessee","2,321"
"Sumner County, Tennessee","6,308"
"Tipton County, Tennessee","1,269"
"Trousdale County, Tennessee",198
"Unicoi County, Tennessee",694
"Union County, Tennessee",249
"Van Buren County, Tennessee",50
"Warren County, Tennessee","3,224"
"Washington County, Tennessee","3,633"
"Wayne County, Tennessee",277
"Weakley County, Tennessee",700
"White County, Tennessee",425
"Williamson County, Tennessee","8,166"
"Wilson County, Tennessee","3,691"
"Anderson County, Texas","9,287"
"Andrews County, Texas","7,195"
"Angelina County, Texas","17,145"
"Aransas County, Texas","5,690"
"Archer County, Texas",675
"Armstrong County, Texas",124
"Atascosa County, Texas","27,785"
"Austin County, Texas","6,641"
"Bailey County, Texas","4,283"
"Bandera County, Texas","3,415"
"Bastrop County, Texas","24,190"
"Baylor County, Texas",455
"Bee County, Texas","17,906"
"Bell County, Texas","67,010"
"Bexar County, Texas","1,006,958"
"Blanco County, Texas","1,909"
"Borden County, Texas",95
"Bosque County, Texas","2,926"
"Bowie County, Texas","6,062"
"Brazoria County, Texas","86,643"
"Brazos County, Texas","45,405"
"Brewster County, Texas","3,918"
"Briscoe County, Texas",411
"Brooks County, Texas","6,590"
"Brown County, Texas","7,453"
"Burleson County, Texas","3,166"
"Burnet County, Texas","8,652"
"Caldwell County, Texas","17,922"
"Calhoun County, Texas","9,922"
"Callahan County, Texas","1,025"
"Cameron County, Texas","357,747"
"Camp County, Texas","2,648"
"Carson County, Texas",525
"Cass County, Texas","1,053"
"Castro County, Texas","4,828"
"Chambers County, Texas","6,635"
"Cherokee County, Texas","10,499"
"Childress County, Texas","1,885"
"Clay County, Texas",467
"Cochran County, Texas","1,654"
"Coke County, Texas",602
"Coleman County, Texas","1,419"
"Collin County, Texas","115,354"
"Collingsworth County, Texas",916
"Colorado County, Texas","5,452"
"Comal County, Texas","26,989"
"Comanche County, Texas","3,605"
"Concho County, Texas","2,173"
"Cooke County, Texas","5,997"
"Coryell County, Texas","11,973"
"Cottle County, Texas",316
"Crane County, Texas","2,409"
"Crockett County, Texas","2,352"
"Crosby County, Texas","3,171"
"Culberson County, Texas","1,827"
"Dallam County, Texas","2,717"
"Dallas County, Texas","905,940"
"Dawson County, Texas","7,387"
"Deaf Smith County, Texas","13,039"
"Delta County, Texas",288
"Denton County, Texas","120,836"
"DeWitt County, Texas","6,502"
"Dickens County, Texas",708
"Dimmit County, Texas","8,616"
"Donley County, Texas",309
"Duval County, Texas","10,424"
"Eastland County, Texas","2,673"
"Ector County, Texas","72,331"
"Edwards County, Texas","1,027"
"Ellis County, Texas","35,161"
"El Paso County, Texas","658,134"
"Erath County, Texas","7,279"
"Falls County, Texas","3,716"
"Fannin County, Texas","3,226"
"Fayette County, Texas","4,585"
"Fisher County, Texas",999
"Floyd County, Texas","3,410"
"Foard County, Texas",187
"Fort Bend County, Texas","138,967"
"Franklin County, Texas","1,333"
"Freestone County, Texas","2,694"
"Frio County, Texas","13,401"
"Gaines County, Texas","6,413"
"Galveston County, Texas","65,270"
"Garza County, Texas","3,046"
"Gillespie County, Texas","4,969"
"Glasscock County, Texas",378
"Goliad County, Texas","2,462"
"Gonzales County, Texas","9,353"
"Gray County, Texas","5,365"
"Grayson County, Texas","13,688"
"Gregg County, Texas","20,018"
"Grimes County, Texas","5,652"
"Guadalupe County, Texas","46,889"
"Hale County, Texas","20,269"
"Hall County, Texas","1,087"
"Hamilton County, Texas",863
"Hansford County, Texas","2,430"
"Hardeman County, Texas",889
"Hardin County, Texas","2,384"
"Harris County, Texas","1,671,540"
"Harrison County, Texas","7,254"
"Hartley County, Texas","1,448"
"Haskell County, Texas","1,414"
"Hays County, Texas","55,401"
"Hemphill County, Texas","1,086"
"Henderson County, Texas","8,490"
"Hidalgo County, Texas","702,206"
"Hill County, Texas","6,427"
"Hockley County, Texas","9,993"
"Hood County, Texas","5,234"
"Hopkins County, Texas","5,368"
"Houston County, Texas","2,364"
"Howard County, Texas","13,255"
