wid,state,county,population,watertype,health,reporting,length,analytics,lead,e_coli,coliform,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,unknown/old
AK2220173,AK,MATANUSKA-SUSITNA BOROUGH,50,Ground water,0,29,288.4827586,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
AK2220189,AK,MATANUSKA-SUSITNA BOROUGH,26,Ground water,11,147,91.35064935,1.904,4,0,2,46,13,0,0,1,6,89,1,0,0,0,2
AK2220215,AK,MATANUSKA-SUSITNA BOROUGH,28,Ground water,0,59,177.4736842,0,2,0,1,44,10,5,0,0,0,0,0,0,0,0,0
AK2220216,AK,MATANUSKA-SUSITNA BOROUGH,28,Ground water,0,61,177.4736842,0,3,0,1,44,12,5,0,0,0,0,0,0,0,0,0
AK2220308,AK,MATANUSKA-SUSITNA BOROUGH,32,Ground water,0,3,364.5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
AK2220310,AK,MATANUSKA-SUSITNA BOROUGH,25,Ground water,0,27,348.8181818,0,2,0,1,0,0,0,0,0,0,0,1,1,25,0,0
AK2220439,AK,MATANUSKA-SUSITNA BOROUGH,48,Ground water,1,23,85.65217391,0,1,0,2,0,0,0,0,0,0,0,22,2,0,0,0
AK2220443,AK,MATANUSKA-SUSITNA BOROUGH,96,Ground water,0,2,91,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AK2220465,AK,MATANUSKA-SUSITNA BOROUGH,96,Ground water,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AK2221834,AK,MATANUSKA-SUSITNA BOROUGH,2733,Ground water,0,50,1025.543478,0,2,0,1,0,1,21,0,0,22,1,1,1,2,0,1
AK2222848,AK,MATANUSKA-SUSITNA BOROUGH,75,Ground water,0,25,969.52,0,0,0,3,0,0,0,0,0,22,3,0,0,0,0,0
AK2223145,AK,MATANUSKA-SUSITNA BOROUGH,90,Ground water,1,3,75.25,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0
AK2223179,AK,MATANUSKA-SUSITNA BOROUGH,80,Ground water,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK2223315,AK,MATANUSKA-SUSITNA BOROUGH,235,Ground water,0,158,89.46794872,0,1,0,10,0,1,1,0,0,22,65,62,3,4,0,0
AK2223624,AK,MATANUSKA-SUSITNA BOROUGH,100,Ground water,19,3,135.9545455,0.020947368,0,0,0,0,0,1,0,0,6,5,4,4,2,0,0
AK2223983,AK,MATANUSKA-SUSITNA BOROUGH,120,Ground water,0,2,1095,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AK2224036,AK,MATANUSKA-SUSITNA BOROUGH,120,Ground water,0,2,1095,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AK2224078,AK,MATANUSKA-SUSITNA BOROUGH,147,Ground water,0,161,88.8,0,8,0,1,1,0,2,21,84,43,3,3,1,0,0,3
AK2224109,AK,MATANUSKA-SUSITNA BOROUGH,100,Ground water,0,3,1095,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
AK2224117,AK,MATANUSKA-SUSITNA BOROUGH,168,Ground water,1,1,1095,0.011,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AK2224159,AK,MATANUSKA-SUSITNA BOROUGH,63,Ground water,0,6,0,0,6,0,0,3,1,1,0,0,0,1,0,0,0,0,0
AK2224167,AK,MATANUSKA-SUSITNA BOROUGH,912,Ground water,0,4,1094,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2
AK2224256,AK,MATANUSKA-SUSITNA BOROUGH,92,Ground water,0,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AK2224329,AK,MATANUSKA-SUSITNA BOROUGH,120,Ground water,0,3,91,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
AK2224337,AK,MATANUSKA-SUSITNA BOROUGH,74,Ground water,12,2,90.14285714,1.594166667,0,0,0,0,0,1,0,0,0,3,4,4,2,0,0
AK2224476,AK,MATANUSKA-SUSITNA BOROUGH,70,Ground water,1,6,563,11.03,2,0,0,1,0,1,0,0,0,0,1,1,0,0,3
AK2224646,AK,MATANUSKA-SUSITNA BOROUGH,18222,Ground water,2,65,89.09230769,6.4065,0,0,0,0,0,0,21,42,0,1,0,2,1,0,0
AK2225032,AK,MATANUSKA-SUSITNA BOROUGH,1100,Ground water,1,3,91,14.6,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1
AK2225511,AK,MATANUSKA-SUSITNA BOROUGH,180,Ground water,0,10,90.2,0,4,0,0,2,1,0,1,0,0,1,0,4,1,0,0
AK2226014,AK,MATANUSKA-SUSITNA BOROUGH,36,Ground water,0,79,395.0533333,0,3,0,0,22,1,32,1,22,0,0,1,0,0,0,0
AK2226020,AK,MATANUSKA-SUSITNA BOROUGH,8087,Ground water,0,4,196.5,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0
AK2226021,AK,MATANUSKA-SUSITNA BOROUGH,168,Ground water,0,21,365,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
AK2226035,AK,MATANUSKA-SUSITNA BOROUGH,320,Ground water,0,21,365,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
AK2226240,AK,MATANUSKA-SUSITNA BOROUGH,600,Ground water,0,2,364,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AK2226410,AK,MATANUSKA-SUSITNA BOROUGH,37,Ground water,0,22,365,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,0
AK2226428,AK,MATANUSKA-SUSITNA BOROUGH,26,Ground water,0,18,99.75,0,2,0,13,0,0,7,5,0,2,0,2,1,0,0,1
AK2226509,AK,MATANUSKA-SUSITNA BOROUGH,188,Ground water,0,5,89,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,1
AK2226567,AK,MATANUSKA-SUSITNA BOROUGH,110,Ground water,0,11,247,0,1,0,4,1,0,0,1,0,0,3,1,1,4,0,0
AK2227149,AK,MATANUSKA-SUSITNA BOROUGH,30,Ground water,0,36,423.1212121,0,3,0,1,22,1,1,0,1,11,0,0,0,0,0,0
AK2227199,AK,MATANUSKA-SUSITNA BOROUGH,950,Ground water,0,2,1095,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AK2227204,AK,MATANUSKA-SUSITNA BOROUGH,420,Ground water,0,24,1002.26087,0,0,0,2,0,0,21,2,0,0,0,1,0,0,0,0
AK2227212,AK,MATANUSKA-SUSITNA BOROUGH,26,Ground water,0,2,89,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0
AK2227220,AK,MATANUSKA-SUSITNA BOROUGH,25,Ground water,0,24,89.95454545,0,2,0,1,22,0,0,1,0,0,0,0,0,1,0,0
AK2227539,AK,MATANUSKA-SUSITNA BOROUGH,37,Ground water,2,7,39.83333333,0,0,0,4,0,0,0,0,4,2,3,0,0,0,0,0
AK2227547,AK,MATANUSKA-SUSITNA BOROUGH,49,Ground water,0,4,29.5,0,2,0,2,0,0,0,0,1,0,0,1,1,0,0,1
