,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Tuscaloosa County, Alabama",,"68,103","6,265","4,795","3,745","4,330","3,813","3,190","3,289","3,655","2,999","5,270","6,559","8,688","4,800","2,576","2,364","1,765"
"Walker County, Alabama",,"25,571","2,476","2,107","2,362","2,332","1,483","1,536","1,324","1,190","1,273","2,127","2,393","2,066","1,275",791,449,387
"Washington County, Alabama",,"6,218",528,332,512,392,325,338,281,427,320,593,547,876,312,203,186,46
"Wilcox County, Alabama",,"3,843",973,380,312,333,296,169,142,197,100,214,186,201,182,58,88,12
"Winston County, Alabama",,"9,526","1,155",872,864,745,640,587,598,503,348,840,866,628,467,171,118,124
"Aleutians East Borough, Alaska",,577,16,22,34,39,31,35,17,22,16,57,81,77,45,33,39,13
"Aleutians West Census Area, Alaska",,"1,105",46,24,34,38,30,39,41,57,36,66,83,210,127,83,123,68
"Anchorage Municipality, Alaska",,"105,164","2,820","2,969","3,169","3,572","3,130","3,903","3,551","4,897","3,617","7,204","11,690","15,236","12,546","8,511","9,889","8,460"
"Bethel Census Area, Alaska",,"4,441",262,248,266,245,264,244,209,170,233,329,499,489,333,180,337,133
"Bristol Bay Borough, Alaska",,398,15,12,6,10,8,9,6,14,10,32,54,69,57,36,39,21
"Denali Borough, Alaska",,722,35,31,10,11,36,17,8,48,19,16,120,96,90,76,76,33
"Dillingham Census Area, Alaska",,"1,353",88,58,103,60,67,65,57,51,48,142,160,139,114,59,96,46
"Fairbanks North Star Borough, Alaska",,"35,844","1,332","1,115","1,147","1,597","1,276","1,368","1,790","1,804","1,104","2,612","4,093","5,478","3,811","2,678","3,157","1,482"
"Haines Borough, Alaska",,"1,144",51,65,85,18,41,71,59,52,63,115,126,132,84,59,79,44
"Hoonah-Angoon Census Area, Alaska",,909,61,49,55,54,53,80,22,42,34,88,65,114,74,27,55,36
"Juneau City and Borough, Alaska",,"12,081",403,232,196,362,349,443,185,439,358,951,"1,328","2,192","1,475","1,285",992,891
"Kenai Peninsula Borough, Alaska",,"21,559",961,"1,099",942,"1,009",971,961,905,862,680,"1,738","2,500","3,110","2,174","1,495","1,363",789
"Ketchikan Gateway Borough, Alaska",,"5,305",234,214,150,238,253,200,302,187,258,572,512,706,619,273,368,219
"Kodiak Island Borough, Alaska",,"4,560",121,217,160,220,199,194,123,167,214,340,507,684,625,310,271,208
"Lake and Peninsula Borough, Alaska",,510,34,31,40,28,30,35,35,16,15,58,42,65,27,30,13,11
"Matanuska-Susitna Borough, Alaska",,"31,104","1,358","1,334","1,183","1,266","1,015","1,051","1,152","1,097",993,"2,344","3,474","4,768","3,703","2,425","2,400","1,541"
"Nome Census Area, Alaska",,"2,839",227,132,137,196,170,191,129,158,156,207,235,323,162,126,234,56
"North Slope Borough, Alaska",,"1,977",74,57,63,46,64,66,77,165,50,131,198,244,304,166,152,120
"Northwest Arctic Borough, Alaska",,"1,886",116,79,69,72,71,90,89,88,50,148,203,256,183,133,178,61
"Petersburg Borough, Alaska",,"1,367",51,85,97,35,61,47,55,81,54,99,110,138,168,70,154,62
"Prince of Wales-Hyder Census Area, Alaska",,"2,377",153,153,195,160,132,108,144,108,116,176,183,300,209,100,95,45
"Sitka City and Borough, Alaska",,"3,513",152,126,128,122,119,106,134,208,187,186,403,643,363,274,179,183
"Skagway Municipality, Alaska",,387,6,17,8,16,11,9,14,7,16,46,58,56,52,28,14,29
"Southeast Fairbanks Census Area, Alaska",,"2,156",88,110,79,133,96,63,88,98,84,202,166,371,183,164,151,80
"Valdez-Cordova Census Area, Alaska",,"3,225",221,105,214,115,106,85,109,68,59,218,192,539,387,357,256,194
"Wade Hampton Census Area, Alaska",,"1,690",150,92,129,115,95,123,121,126,97,137,172,170,82,47,18,16
"Wrangell City and Borough, Alaska",,"1,163",57,89,56,96,55,42,39,105,72,111,101,144,53,41,82,20
"Yakutat City and Borough, Alaska",,265,7,1,10,22,10,7,18,12,10,20,36,49,35,6,16,6
"Yukon-Koyukuk Census Area, Alaska",,"2,057",226,164,201,148,133,112,78,76,119,129,209,184,138,57,67,16
"Apache County, Arizona",,"19,046","3,649","1,699","1,367","1,169","1,157","1,205",947,999,772,"1,551","1,582","1,502",740,332,301,74
"Cochise County, Arizona",,"48,846","4,615","3,151","2,924","2,624","3,075","2,968","2,177","2,445","2,182","4,680","4,194","5,642","3,346","1,994","1,590","1,239"
"Coconino County, Arizona",,"46,391","4,608","2,622","2,574","2,339","2,614","2,563","2,270","2,152","1,978","3,654","4,117","5,999","3,386","2,022","1,956","1,537"
"Gila County, Arizona",,"20,824","1,888","1,450","1,533","1,713","1,353","1,089","1,374","1,160","1,132","1,827","1,916","2,201","1,213",409,372,194
"Graham County, Arizona",,"10,975","1,149",530,690,729,526,421,704,461,653,830,"1,230","1,619",619,413,258,143
"Greenlee County, Arizona",,"3,446",146,186,207,276,177,173,140,262,120,477,336,454,280,112,63,37
"La Paz County, Arizona",,"9,707",734,963,668,863,782,633,559,636,517,889,966,668,397,262,110,60
"Maricopa County, Arizona",,"1,424,244","98,229","64,744","72,186","73,679","72,829","76,218","69,843","73,825","61,497","117,503","144,016","175,343","117,778","73,200","68,365","64,989"
"Mohave County, Arizona",,"80,529","6,780","5,142","6,564","6,196","6,307","5,910","4,906","5,198","3,939","7,308","7,544","7,159","3,529","1,654","1,271","1,122"
"Navajo County, Arizona",,"34,018","5,235","2,665","2,134","2,284","2,207","1,922","1,578","1,694","1,278","2,859","3,558","3,202","1,509",844,578,471
"Pima County, Arizona",,"386,155","32,627","24,575","22,671","24,149","23,008","22,128","20,165","19,559","17,264","30,247","38,091","43,768","26,900","15,616","13,563","11,824"
"Pinal County, Arizona",,"126,128","9,320","4,925","6,246","6,958","6,908","7,795","6,839","6,814","6,863","12,769","15,259","16,573","8,883","4,381","3,366","2,229"
"Santa Cruz County, Arizona",,"15,514","1,766","1,318","1,166","1,009","1,062",824,808,631,659,"1,518","1,271","1,485",763,574,437,223
"Yavapai County, Arizona",,"91,508","6,619","5,921","6,026","6,139","5,880","5,458","5,245","5,563","4,827","8,083","9,827","9,550","5,653","2,445","2,450","1,822"
"Yuma County, Arizona",,"69,915","5,646","4,265","4,745","5,291","4,755","4,910","4,269","3,631","3,411","5,906","7,650","7,129","3,929","1,836","1,389","1,153"
"Arkansas County, Arkansas",,"7,787",695,500,601,560,599,720,397,404,523,652,462,657,328,284,261,144
"Ashley County, Arkansas",,"8,518",914,720,729,689,534,655,505,385,324,658,773,864,435,120,148,65
"Baxter County, Arkansas",,"18,237","1,203","1,911","1,764","1,299","1,646","1,191","1,040",990,927,"1,498","1,924","1,502",551,266,314,211
"Benton County, Arkansas",,"83,191","3,730","3,491","3,879","4,178","4,110","4,383","4,045","4,282","4,135","8,028","8,916","10,671","7,096","4,205","4,260","3,782"
"Boone County, Arkansas",,"14,855","1,362","1,064","1,032","1,111","1,084","1,163",841,977,723,"1,343","1,434","1,204",664,379,218,256
"Bradley County, Arkansas",,"4,720",656,447,292,402,336,362,230,270,220,270,306,514,188,58,38,131
"Calhoun County, Arkansas",,"2,062",185,204,199,163,155,125,54,135,128,92,169,191,144,100,2,16
"Carroll County, Arkansas",,"11,069",778,"1,055",716,913,919,743,861,636,658,915,965,941,356,207,308,98
"Chicot County, Arkansas",,"4,495",779,481,435,357,305,258,106,207,189,212,383,355,192,62,75,99
"Clark County, Arkansas",,"8,467","1,228",618,800,548,553,577,559,319,238,701,667,810,430,173,112,134
"Clay County, Arkansas",,"6,729",692,682,699,462,637,471,399,354,349,530,570,451,219,100,86,28
"Cleburne County, Arkansas",,"10,292",625,"1,088",826,703,708,657,453,547,549,976,829,"1,120",446,268,281,216
"Cleveland County, Arkansas",,"3,270",351,174,205,180,286,173,207,152,142,257,311,303,302,125,59,43
"Columbia County, Arkansas",,"9,509","1,366",843,665,606,532,543,332,493,386,707,811,939,630,334,246,76
"Conway County, Arkansas",,"8,370",755,817,644,628,564,540,448,253,297,739,738,906,373,277,222,169
"Craighead County, Arkansas",,"38,081","3,752","2,665","2,580","2,463","2,329","2,076","2,198","2,074","1,761","3,163","3,399","3,921","1,905","1,494","1,186","1,115"
"Crawford County, Arkansas",,"23,490","1,869","1,579","1,901","1,506","1,455","1,596","1,601","1,417","1,220","2,435","2,301","2,235","1,143",517,372,343
"Crittenden County, Arkansas",,"18,253","2,117","1,293","1,364","1,346","1,307","1,270",805,729,660,"1,549","1,669","1,731","1,303",469,375,266
"Cross County, Arkansas",,"6,882",786,579,578,529,403,463,325,337,323,589,782,457,369,160,125,77
"Dallas County, Arkansas",,"3,322",282,260,353,346,227,329,187,110,169,214,278,226,236,40,34,31
"Desha County, Arkansas",,"5,166",863,613,520,408,295,177,198,220,109,361,586,388,162,85,91,90
"Drew County, Arkansas",,"7,344","1,448",503,535,590,375,493,334,201,384,621,710,496,286,170,166,32
"Faulkner County, Arkansas",,"42,964","3,230","2,193","2,218","2,691","2,405","2,373","1,936","2,478","1,606","3,372","5,041","5,481","3,587","1,820","1,480","1,053"
"Franklin County, Arkansas",,"6,783",642,619,433,336,455,467,455,478,268,605,653,615,388,127,113,129
"Fulton County, Arkansas",,"5,312",468,572,372,497,336,313,446,361,318,401,356,341,303,150,76,2
"Garland County, Arkansas",,"39,876","3,875","3,454","2,861","2,959","2,390","2,448","2,138","1,960","1,943","3,531","3,284","3,756","2,362","1,191",742,982
"Grant County, Arkansas",,"6,798",403,410,429,528,387,474,349,352,297,588,702,924,580,146,162,67
"Greene County, Arkansas",,"16,610","1,376","1,520","1,189","1,160",997,"1,104","1,059",980,663,"1,879","1,136","1,736",862,483,316,150
"Hempstead County, Arkansas",,"8,115",904,803,665,916,603,459,269,610,425,559,672,409,406,186,161,68
"Hot Spring County, Arkansas",,"12,027","1,022",800,852,"1,006",746,795,629,573,702,999,"1,311","1,273",743,328,117,131
"Howard County, Arkansas",,"5,085",435,443,509,312,400,324,249,472,232,445,418,335,189,108,111,103
"Independence County, Arkansas",,"14,405","1,414","1,230","1,178",855,"1,044","1,204","1,017",781,438,"1,265","1,216","1,324",591,306,310,232
"Izard County, Arkansas",,"5,656",608,503,595,438,548,500,325,284,213,353,419,491,201,35,67,76
"Jackson County, Arkansas",,"6,402",886,673,613,456,469,350,328,436,281,542,498,461,222,21,109,57
"Jefferson County, Arkansas",,"28,488","3,237","2,507","2,451","2,074","1,996","1,440","1,561","1,373","1,089","2,364","2,375","2,761","1,500",756,605,399
"Johnson County, Arkansas",,"10,023",788,"1,187",894,912,874,706,675,489,363,752,971,639,275,173,128,197
"Lafayette County, Arkansas",,"2,827",389,367,231,164,210,189,167,124,119,269,203,197,87,50,30,31
"Lawrence County, Arkansas",,"6,630",705,775,576,418,574,380,418,377,336,492,591,490,330,101,49,18
"Lee County, Arkansas",,"3,488",695,394,336,234,251,249,223,100,142,123,262,283,69,76,19,32
"Lincoln County, Arkansas",,"4,195",622,448,208,399,220,315,158,307,164,183,324,407,191,76,67,106
"Little River County, Arkansas",,"5,241",443,466,591,353,266,236,293,317,224,553,403,527,331,118,105,15
"Logan County, Arkansas",,"8,439",617,858,753,551,697,639,514,484,399,607,800,682,206,237,214,181
"Lonoke County, Arkansas",,"25,572","1,384","1,539","1,148","1,251","1,241","1,473","1,451","1,251","1,284","2,353","2,959","3,515","2,444","1,249",827,203
"Madison County, Arkansas",,"6,152",499,651,423,548,356,314,474,360,252,582,487,586,345,103,79,93
"Marion County, Arkansas",,"6,912",760,578,567,526,658,535,561,485,372,527,603,398,216,54,53,19
"Miller County, Arkansas",,"16,946","1,618","1,428","1,229",978,"1,181",959,850,"1,211",722,"1,547","1,562","1,754","1,074",308,354,171
"Mississippi County, Arkansas",,"17,188","2,450","1,641","1,163","1,074","1,202","1,213",780,977,735,"1,069","1,315","1,560",985,496,281,247
"Monroe County, Arkansas",,"3,374",677,319,257,309,227,151,180,222,94,160,264,315,72,56,22,49
"Montgomery County, Arkansas",,"3,813",401,307,315,389,378,260,171,130,92,373,351,302,220,64,50,10
"Nevada County, Arkansas",,"3,596",403,436,396,330,182,197,191,315,119,205,249,305,148,36,38,46
"Newton County, Arkansas",,"3,346",450,316,342,293,171,168,168,264,120,315,206,350,87,35,33,28
"Ouachita County, Arkansas",,"10,502","1,383","1,043","1,041",719,764,613,538,484,316,921,843,905,419,188,217,108
"Perry County, Arkansas",,"3,926",282,205,197,268,338,200,378,216,228,324,277,502,264,116,97,34
"Phillips County, Arkansas",,"8,291","1,285",983,823,618,688,414,392,319,301,636,390,564,352,165,218,143
"Pike County, Arkansas",,"4,352",471,337,399,377,358,395,177,238,129,326,388,411,113,75,118,40
"Poinsett County, Arkansas",,"9,314","1,096","1,060",680,848,616,524,606,549,423,691,871,729,312,225,60,24
"Polk County, Arkansas",,"7,994",811,682,626,822,554,690,490,355,446,549,716,569,382,95,106,101
"Pope County, Arkansas",,"22,776","1,787","1,912","1,273","1,724","1,521","1,427","1,586","1,194","1,104","2,173","2,031","2,236","1,255",493,662,398
"Prairie County, Arkansas",,"3,776",473,302,254,327,252,197,211,339,287,294,262,316,162,59,41,0
"Pulaski County, Arkansas",,"153,323","12,973","9,154","9,422","9,689","8,558","8,987","8,095","7,887","6,813","11,944","14,404","16,776","9,989","6,321","6,676","5,635"
"Randolph County, Arkansas",,"7,293",777,825,660,342,484,430,346,408,378,649,799,604,362,78,98,53
"St. Francis County, Arkansas",,"9,351","1,363","1,022",872,717,585,681,518,407,372,690,821,592,389,173,62,87
"Saline County, Arkansas",,"41,702","1,666","1,513","1,792","2,176","2,485","2,562","1,894","2,275","1,985","3,980","4,776","6,210","3,898","2,022","1,748",720
"Scott County, Arkansas",,"4,125",497,325,262,348,299,241,240,241,353,276,388,296,190,28,83,58
"Searcy County, Arkansas",,"3,179",531,195,325,219,92,282,274,184,130,219,349,227,111,4,1,36
"Sebastian County, Arkansas",,"49,424","4,216","4,019","4,071","3,331","3,356","3,519","2,631","2,197","2,577","3,753","4,508","4,320","2,679","1,536","1,160","1,551"
"Sevier County, Arkansas",,"5,918",478,433,576,521,515,360,326,333,310,537,694,398,306,60,33,38
"Sharp County, Arkansas",,"7,053",720,655,721,681,652,497,476,495,201,332,612,773,85,70,40,43
"Stone County, Arkansas",,"5,267",529,780,537,424,365,375,212,327,197,241,440,425,168,133,68,46
"Union County, Arkansas",,"16,689","1,789","1,351","1,272","1,191",803,"1,116","1,030",665,842,"1,485","1,395","1,816",796,476,273,389
"Van Buren County, Arkansas",,"7,077",916,628,650,643,575,591,314,475,236,495,594,541,194,62,106,57
"Washington County, Arkansas",,"80,457","7,389","5,795","5,218","4,730","5,392","4,738","4,926","4,101","3,395","6,178","7,030","7,026","5,671","3,039","3,108","2,721"
"White County, Arkansas",,"29,447","2,803","2,144","2,607","1,683","1,606","1,649","1,578","1,371","1,255","2,389","2,687","3,331","2,058",824,854,608
"Woodruff County, Arkansas",,"3,055",546,299,333,288,182,204,203,145,145,113,259,189,60,45,13,31
"Yell County, Arkansas",,"7,825",762,592,694,674,522,424,604,459,335,643,421,989,354,141,157,54
"Alameda County, California",,"551,734","29,627","26,326","21,087","21,756","20,499","19,326","18,889","19,735","17,017","37,012","48,173","66,296","56,486","39,123","50,614","59,768"
"Alpine County, California",,377,19,16,25,29,12,10,10,18,5,30,71,42,24,39,20,7
"Amador County, California",,"13,939",872,708,876,801,822,726,714,508,586,"1,006","1,372","2,017","1,153",699,583,496
"Butte County, California",,"85,215","6,751","6,478","6,374","5,872","5,078","5,079","4,368","4,048","3,114","6,970","8,107","8,819","5,552","3,304","2,891","2,410"
"Calaveras County, California",,"18,608","1,112","1,009","1,167",773,"1,013",842,887,915,765,"1,640","1,813","2,419","1,737",966,907,643
"Colusa County, California",,"6,912",318,421,292,364,542,464,248,411,361,681,751,910,486,207,273,183
"Contra Costa County, California",,"380,183","14,898","13,846","13,232","13,396","12,432","13,405","13,178","13,300","12,742","24,481","35,065","46,687","39,810","29,951","38,058","45,702"
"Del Norte County, California",,"9,527",964,"1,028",689,626,501,532,476,326,338,701,"1,103",919,683,281,167,193
"El Dorado County, California",,"67,220","2,928","2,956","2,477","2,857","2,928","3,069","2,986","2,412","2,291","5,047","6,334","8,609","6,672","4,443","5,413","5,798"
"Fresno County, California",,"292,550","23,914","20,704","19,853","18,721","17,950","16,684","14,115","13,851","11,997","22,404","27,784","31,797","20,200","11,862","11,817","8,897"
"Glenn County, California",,"9,561",746,820,801,482,648,535,743,304,395,752,835,"1,002",598,432,172,296
"Humboldt County, California",,"53,130","4,165","4,605","3,543","3,524","3,341","3,339","2,961","2,561","2,566","4,714","5,164","5,607","3,229","1,311","1,385","1,115"
"Imperial County, California",,"46,952","4,244","4,370","3,387","3,247","2,735","2,657","2,098","2,157","1,668","3,356","4,036","5,430","3,115","1,996","1,501",955
"Inyo County, California",,"7,891",364,818,483,409,610,403,408,395,356,409,889,992,609,261,285,200
