,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Richardson County, Nebraska",,"3,715",306,255,272,253,175,442,134,137,236,251,381,442,235,69,76,51
"Rock County, Nebraska",,692,44,55,41,22,28,37,44,57,29,62,104,74,51,24,0,20
"Saline County, Nebraska",,"5,156",345,285,246,399,246,417,241,288,297,527,652,541,332,150,114,76
"Sarpy County, Nebraska",,"60,844","1,941","1,615","1,514","2,087","2,357","2,748","2,614","2,773","2,648","5,149","7,072","10,278","7,274","4,534","3,869","2,371"
"Saunders County, Nebraska",,"8,070",296,425,374,310,526,361,353,403,315,628,"1,053","1,176",824,417,320,289
"Scotts Bluff County, Nebraska",,"14,659","1,054",741,955,"1,076",839,"1,062",759,601,819,"1,441","1,505","1,792",955,423,347,290
"Seward County, Nebraska",,"6,224",300,238,248,251,342,314,262,322,234,640,758,959,594,273,234,255
"Sheridan County, Nebraska",,"2,292",122,192,174,170,148,145,177,155,105,251,244,201,81,41,55,31
"Sherman County, Nebraska",,"1,343",58,110,67,80,83,107,71,70,74,166,164,133,109,13,29,9
"Sioux County, Nebraska",,557,40,24,67,44,25,47,27,25,11,52,63,59,25,18,14,16
"Stanton County, Nebraska",,"2,312",105,145,82,129,81,95,146,111,180,229,286,380,201,57,36,49
"Thayer County, Nebraska",,"2,331",160,149,206,128,107,154,144,109,154,186,277,248,134,73,48,54
"Thomas County, Nebraska",,324,11,25,0,20,31,16,8,19,16,47,46,38,26,0,9,12
"Thurston County, Nebraska",,"2,076",212,150,149,155,77,145,134,137,87,109,233,178,129,83,49,49
"Valley County, Nebraska",,"1,901",110,214,114,113,90,135,105,97,82,189,202,228,91,51,47,33
"Washington County, Nebraska",,"7,794",292,340,315,369,263,274,278,322,327,505,905,"1,327","1,049",560,386,282
"Wayne County, Nebraska",,"3,548",175,292,230,128,290,175,144,123,140,163,463,509,306,199,86,125
"Webster County, Nebraska",,"1,555",82,140,152,106,101,102,79,96,94,111,162,141,109,33,29,18
"Wheeler County, Nebraska",,388,27,22,26,21,24,29,22,28,31,36,32,37,22,6,12,13
"York County, Nebraska",,"5,599",282,234,318,310,266,392,280,381,245,538,736,673,410,217,137,180
"Churchill County, Nevada",,"9,431",620,500,558,534,641,621,628,439,701,723,824,995,758,527,288,74
"Clark County, Nevada",,"715,415","47,177","32,488","34,925","39,106","38,586","42,728","36,784","37,025","33,894","61,231","80,846","90,965","53,631","32,092","29,673","24,264"
"Douglas County, Nevada",,"19,765",975,860,748,"1,016","1,109",790,946,867,888,"1,881","2,426","2,735","1,429","1,017","1,136",942
"Elko County, Nevada",,"17,587",628,579,637,804,576,578,689,771,761,"1,270","1,982","2,835","2,119","1,389","1,099",870
"Esmeralda County, Nevada",,467,54,40,72,27,35,14,21,29,10,62,32,21,29,17,4,0
"Eureka County, Nevada",,769,78,63,24,21,32,21,21,26,14,57,39,112,145,78,34,4
"Humboldt County, Nevada",,"6,092",439,149,277,346,359,203,289,193,159,497,827,780,697,436,298,143
"Lander County, Nevada",,"2,075",55,69,143,38,161,18,133,108,25,67,180,421,325,210,93,29
"Lincoln County, Nevada",,"1,916",192,102,173,162,115,122,81,93,139,187,88,271,79,68,11,33
"Lyon County, Nevada",,"19,728","1,079",976,"1,047","1,290","1,165","1,142","1,061","1,390","1,394","1,802","2,215","2,433","1,603",566,387,178
"Mineral County, Nevada",,"1,917",153,176,158,185,118,95,120,30,56,209,187,235,99,34,31,31
"Nye County, Nevada",,"17,803","1,226","1,365","1,340","1,141","1,254",937,"1,153","1,161",907,"1,434","1,927","1,550","1,147",559,503,199
"Pershing County, Nevada",,"2,111",143,91,166,110,130,148,71,127,115,168,197,257,199,82,99,8
"Storey County, Nevada",,"1,823",132,21,67,97,57,88,87,74,99,98,272,267,125,183,63,93
"Washoe County, Nevada",,"164,461","11,364","8,510","9,391","9,295","8,961","8,238","7,534","7,551","7,075","13,422","16,886","20,704","13,035","8,795","6,950","6,750"
"White Pine County, Nevada",,"3,373",182,193,168,109,157,130,261,147,164,319,383,314,389,159,242,56
"Carson City, Nevada",,"21,225","1,405","1,239","1,277","1,200","1,196","1,067","1,107","1,152",949,"1,689","2,477","2,912","1,212","1,031",846,466
"Belknap County, New Hampshire",,"25,010","1,191","1,102","1,295","1,262",908,"1,455",780,"1,171","1,063","2,117","3,147","3,541","2,495","1,429","1,263",791
"Carroll County, New Hampshire",,"21,279","1,039","1,184",876,999,"1,225","1,221","1,113","1,255","1,202","1,891","2,439","2,573","1,741",830,857,834
"Cheshire County, New Hampshire",,"30,659","1,695","1,623","1,344","1,669","1,676","1,539","1,347","1,341","1,271","2,890","3,221","4,389","2,936","1,531","1,225",962
"Coos County, New Hampshire",,"14,395",959,"1,215","1,052","1,089",831,"1,005",750,706,694,"1,233","1,513","1,675",827,290,260,296
"Grafton County, New Hampshire",,"35,127","1,750","1,735","1,238","2,004","1,784","2,028","1,762","1,783","1,660","3,092","3,490","4,732","2,803","1,564","1,917","1,785"
"Hillsborough County, New Hampshire",,"154,236","6,533","5,029","6,544","5,748","6,498","5,807","5,722","6,071","5,481","11,816","15,718","22,144","17,699","11,258","11,889","10,279"
"Merrimack County, New Hampshire",,"57,040","2,488","2,602","1,976","2,647","2,502","2,688","2,397","2,604","2,044","4,177","6,024","9,173","5,826","3,870","3,578","2,444"
"Rockingham County, New Hampshire",,"117,284","3,366","3,145","3,728","3,755","3,669","4,423","4,294","4,207","4,410","8,226","12,258","17,289","14,132","9,623","11,160","9,599"
"Strafford County, New Hampshire",,"46,891","2,221","2,398","2,085","2,394","2,372","1,872","2,283","2,211","2,110","3,622","5,097","6,507","4,450","2,676","2,613","1,980"
"Sullivan County, New Hampshire",,"17,659","1,005",921,782,833,764,887,970,920,684,"1,460","2,130","2,590","1,583","1,068",510,552
"Atlantic County, New Jersey",,"101,166","7,440","4,858","5,468","5,164","5,145","5,196","4,501","4,923","4,117","8,071","10,719","12,143","8,349","5,517","5,255","4,300"
"Bergen County, New Jersey",,"335,671","15,930","10,709","11,150","10,982","11,497","11,643","10,100","11,155","9,755","21,003","28,596","41,355","33,540","25,831","36,701","45,724"
"Burlington County, New Jersey",,"164,736","5,406","3,813","5,057","5,184","6,230","5,877","5,672","5,823","6,067","12,552","16,077","24,439","18,835","12,973","16,324","14,407"
"Camden County, New Jersey",,"187,121","13,548","8,993","8,895","8,662","7,837","7,971","7,329","7,214","7,147","13,847","17,711","24,867","18,462","12,262","12,528","9,848"
"Cape May County, New Jersey",,"41,069","2,254","1,879","2,052","1,920","2,343","1,672","1,914","1,984","1,787","3,576","3,754","5,303","3,847","2,363","2,369","2,052"
"Cumberland County, New Jersey",,"50,399","3,895","2,927","3,221","2,787","2,503","2,611","2,347","2,429","2,207","4,212","4,713","6,758","4,188","2,489","1,817","1,295"
"Essex County, New Jersey",,"277,745","25,515","16,085","14,723","14,410","13,757","12,792","11,547","11,165","9,862","18,705","24,167","28,701","20,235","13,722","16,697","25,662"
"Gloucester County, New Jersey",,"104,435","4,180","3,270","4,254","3,363","3,713","3,771","3,468","3,695","3,641","7,558","10,506","15,167","12,422","8,699","9,910","6,818"
"Hudson County, New Jersey",,"246,135","19,369","13,485","13,128","12,221","10,616","10,799","9,364","9,032","8,884","17,558","22,565","29,170","20,949","13,764","16,346","18,885"
"Hunterdon County, New Jersey",,"46,951","1,183",818,"1,258","1,176","1,034","1,178","1,304","1,180","1,225","2,503","3,578","5,574","5,364","4,385","6,289","8,902"
"Mercer County, New Jersey",,"131,475","8,002","4,879","4,989","4,973","4,718","4,685","5,145","4,378","3,641","8,627","12,319","16,434","12,800","9,101","11,692","15,092"
"Middlesex County, New Jersey",,"282,182","11,308","8,544","9,611","9,783","9,755","9,635","9,622","9,022","8,706","19,739","26,721","39,491","33,031","24,312","26,998","25,904"
"Monmouth County, New Jersey",,"233,730","9,165","6,914","8,450","8,446","8,566","8,155","6,520","7,103","6,972","14,465","18,601","29,091","25,048","18,966","25,184","32,084"
"Morris County, New Jersey",,"179,776","4,907","3,740","4,117","4,820","4,490","4,697","4,448","4,557","4,780","10,327","15,376","24,407","21,306","15,114","21,272","31,418"
"Ocean County, New Jersey",,"221,720","9,641","9,123","11,657","11,450","10,648","10,288","9,360","9,852","8,831","16,733","22,797","29,215","21,966","14,079","15,557","10,523"
"Passaic County, New Jersey",,"162,097","13,023","8,245","7,650","7,763","7,681","7,785","6,097","6,947","5,264","11,055","13,646","19,150","15,355","9,809","12,068","10,559"
"Salem County, New Jersey",,"24,665","1,541","1,070","1,401","1,134","1,022","1,106",780,"1,129",987,"2,047","2,646","3,213","2,634","1,699","1,417",839
"Somerset County, New Jersey",,"115,941","2,896","2,428","2,781","2,814","2,874","3,337","2,940","3,556","3,081","6,122","9,228","15,300","13,658","9,718","14,425","20,783"
"Sussex County, New Jersey",,"54,248","1,285","1,589","1,438","1,538","1,477","1,856","1,773","1,847","1,637","3,655","5,220","8,034","7,434","4,937","5,664","4,864"
"Union County, New Jersey",,"185,688","10,581","6,824","7,594","7,656","6,981","7,539","7,758","7,456","6,197","13,309","17,253","22,424","17,582","12,393","14,586","19,555"
"Warren County, New Jersey",,"41,548","1,554","1,402","1,560","1,745","1,631","1,567","1,298","1,621","1,994","3,429","4,313","5,901","4,264","3,131","3,424","2,714"
"Bernalillo County, New Mexico",,"263,719","22,909","15,050","15,949","15,706","14,457","15,031","12,443","12,997","10,671","20,134","25,464","31,070","19,478","11,816","11,150","9,394"
"Catron County, New Mexico",,"1,440",142,151,106,107,98,46,85,167,121,110,110,72,64,29,0,32
"Chaves County, New Mexico",,"23,506","2,125","1,565","1,523","1,443","1,981","1,623","1,374","1,095","1,071","1,581","2,055","2,823","1,622",799,507,319
"Cibola County, New Mexico",,"8,354",947,761,727,639,549,444,430,433,417,639,752,843,421,199,84,69
"Colfax County, New Mexico",,"5,369",581,592,383,402,390,329,191,246,340,381,448,610,246,84,100,46
"Curry County, New Mexico",,"18,223","1,735","1,571","1,200","1,089","1,225","1,307",922,792,725,"1,354","1,507","2,614",858,589,479,256
"De Baca County, New Mexico",,601,47,91,43,41,17,48,29,21,30,34,55,72,18,27,19,9
"Do–a Ana County, New Mexico",,"74,623","8,331","5,337","5,930","6,318","4,372","4,141","3,987","3,948","3,019","5,184","6,157","7,515","4,151","2,120","2,376","1,737"
"Eddy County, New Mexico",,"20,190","1,433","1,085",930,"1,478",958,"1,003","1,057",913,"1,041","1,472","1,868","2,808","1,660",894,971,619
"Grant County, New Mexico",,"12,229","1,374",694,955,"1,028",745,649,896,670,503,646,"1,188","1,358",618,428,313,164
"Guadalupe County, New Mexico",,"1,269",100,115,156,203,103,77,76,46,32,79,69,110,38,31,25,9
"Harding County, New Mexico",,212,11,22,24,20,26,15,8,14,17,8,22,10,5,4,5,1
"Hidalgo County, New Mexico",,"1,858",237,111,139,165,120,155,136,130,43,133,127,185,127,22,24,4
"Lea County, New Mexico",,"21,331","1,554","1,219",790,"1,276",992,"1,004","1,024","1,076",780,"1,737","2,099","3,194","1,790","1,196",917,683
"Lincoln County, New Mexico",,"8,640",665,736,627,570,660,434,444,498,673,629,826,770,333,217,359,199
"Los Alamos County, New Mexico",,"7,495",133,148,90,136,236,211,308,188,110,351,515,"1,048","1,031",868,"1,015","1,107"
"Luna County, New Mexico",,"9,120","1,451",872,768,984,676,598,451,564,440,750,497,528,275,43,164,59
"McKinley County, New Mexico",,"17,862","3,775","1,455","1,391","1,261","1,090","1,040",738,592,733,"1,223","1,528","1,285",832,374,289,256
"Mora County, New Mexico",,"1,525",126,300,201,167,93,50,75,73,56,107,59,86,81,34,17,0
"Otero County, New Mexico",,"23,907","1,913","2,075","1,970","1,587","1,367","1,269","1,615","1,314","1,339","2,002","2,291","2,656","1,082",674,424,329
"Quay County, New Mexico",,"3,319",355,446,345,310,251,202,152,189,123,273,239,283,69,48,29,5
"Rio Arriba County, New Mexico",,"14,245","1,869","1,202",800,879,913,930,766,854,594,"1,215","1,219","1,219",774,428,433,150
"Roosevelt County, New Mexico",,"7,198",939,637,475,557,498,347,418,354,305,498,658,984,230,146,120,32
"Sandoval County, New Mexico",,"47,965","3,079","2,051","2,193","2,163","2,005","2,222","2,355","2,301","2,578","4,142","5,664","6,002","4,065","2,300","2,931","1,914"
"San Juan County, New Mexico",,"40,693","4,056","2,170","2,141","2,295","2,184","2,126","1,797","2,046","1,982","2,969","3,894","5,468","3,175","1,850","1,529","1,011"
"San Miguel County, New Mexico",,"11,306","2,063","1,243",978,824,726,672,640,335,483,799,780,846,489,113,235,80
"Santa Fe County, New Mexico",,"61,313","4,714","3,107","3,412","3,566","3,163","3,102","2,402","2,940","2,562","5,114","6,195","7,067","4,725","2,961","2,926","3,357"
"Sierra County, New Mexico",,"4,686",689,498,320,328,579,389,143,232,245,406,324,350,83,54,30,16
"Socorro County, New Mexico",,"5,161",572,500,468,336,415,484,247,240,180,388,429,429,148,130,71,124
"Taos County, New Mexico",,"13,239","1,675","1,229","1,244",874,728,750,617,853,645,"1,004",916,"1,137",505,544,342,176
"Torrance County, New Mexico",,"5,656",700,436,612,321,393,383,280,293,263,353,466,433,291,193,192,47
"Union County, New Mexico",,"1,602",112,159,118,179,123,70,140,92,58,133,141,100,73,45,29,30
"Valencia County, New Mexico",,"26,828","3,020","1,714","1,958","1,684","1,429","1,799","1,307","1,334","1,139","2,345","2,359","3,042","1,960",846,613,279
"Albany County, New York",,"122,945","7,710","6,259","5,837","5,558","5,517","5,454","5,158","5,822","4,310","9,896","12,288","16,173","12,115","7,287","8,024","5,537"
"Allegany County, New York",,"18,407","1,268","1,333","1,360","1,152","1,246","1,097","1,094","1,081",985,"1,668","1,877","2,157","1,074",473,343,199
"Bronx County, New York",,"480,323","75,594","45,877","36,622","31,643","27,243","26,763","22,838","22,189","18,378","34,460","37,788","42,744","25,167","13,300","11,721","7,996"
"Broome County, New York",,"79,438","6,683","5,002","5,252","4,856","4,394","4,392","3,832","4,224","3,705","6,529","8,202","8,978","5,484","3,185","2,693","2,027"
"Cattaraugus County, New York",,"31,798","2,054","2,229","2,364","2,222","2,081","1,895","1,894","1,627","1,468","2,885","3,320","3,817","1,933",897,672,440
"Cayuga County, New York",,"30,907","1,847","1,571","1,875","1,800","1,674","1,533","1,658","1,596","1,374","3,210","3,341","3,838","2,583","1,380","1,060",567
"Chautauqua County, New York",,"54,226","4,746","3,890","3,869","3,576","3,361","3,032","2,813","3,193","2,609","4,836","5,448","6,292","3,282","1,407","1,267",605
"Chemung County, New York",,"35,390","2,559","2,244","2,438","2,342","1,906","1,870","1,615","1,461","1,338","3,362","3,435","4,208","2,803","1,324","1,497",988
"Chenango County, New York",,"19,560","1,379","1,392","1,224","1,307","1,321","1,131","1,010","1,153",932,"1,565","2,293","2,348","1,291",580,409,225
"Clinton County, New York",,"31,976","2,294","2,061","1,907","1,743","1,612","1,834","1,693","1,343","1,226","2,778","3,430","4,047","2,672","1,418","1,224",694
"Columbia County, New York",,"25,095","1,185","1,083","1,212","1,149","1,299","1,380","1,239","1,159","1,025","2,037","2,600","3,481","2,464","1,456","1,268","1,058"
"Cortland County, New York",,"18,045","1,235","1,165","1,002",996,932,"1,077",768,"1,253",823,"1,593","1,921","2,257","1,175",745,826,277
"Delaware County, New York",,"19,370","1,385","1,346","1,238","1,474","1,259","1,166",965,985,996,"1,796","1,859","2,229","1,430",622,371,249
"Dutchess County, New York",,"106,898","4,423","4,207","4,010","4,348","4,568","4,065","3,831","3,901","3,315","7,547","10,854","15,706","11,677","7,978","9,040","7,428"
"Erie County, New York",,"381,783","30,849","22,161","22,614","21,166","19,729","19,987","17,408","17,818","15,448","30,955","38,674","47,034","31,816","17,605","16,220","12,299"
"Essex County, New York",,"15,571",875,827,"1,041",682,958,800,849,894,827,"1,271","1,747","2,189","1,153",545,617,296
"Franklin County, New York",,"19,131","1,667","1,363","1,045","1,361",972,"1,016",928,875,848,"1,592","1,962","2,678","1,316",679,465,364
"Fulton County, New York",,"22,440","1,716","1,377","1,315","1,492","1,335","1,322","1,318","1,226","1,016","2,080","2,276","2,453","1,734",936,455,389
"Genesee County, New York",,"23,967","1,265","1,364","1,222","1,285","1,325","1,373","1,418","1,551","1,033","1,858","2,999","3,152","2,166",879,700,377
"Greene County, New York",,"18,102","1,136","1,058",969,"1,075",987,"1,021","1,038",905,887,"1,557","1,781","2,172","1,572",871,636,437
"Hamilton County, New York",,"1,639",88,79,117,47,92,113,81,94,72,140,245,174,136,71,45,45
"Herkimer County, New York",,"26,583","1,798","2,112","1,630","1,559","1,637","1,483","1,596","1,320","1,261","2,269","3,061","3,355","1,681",909,547,365
"Jefferson County, New York",,"44,822","3,010","2,710","2,231","2,511","2,843","2,244","2,369","2,712","2,384","4,173","5,468","5,455","3,193","1,500","1,123",896
"Kings County, New York",,"925,371","105,868","64,435","55,612","49,971","45,937","44,690","40,998","42,120","32,918","64,714","82,166","98,258","65,214","42,011","45,368","45,091"
"Lewis County, New York",,"10,726",799,532,568,649,629,684,634,673,560,850,"1,184","1,340",855,318,275,176
"Livingston County, New York",,"24,242","1,620","1,162","1,437","1,213","1,157","1,482","1,216","1,213","1,056","2,276","2,263","3,669","2,263","1,084",736,395
"Madison County, New York",,"26,407","1,591","1,236","1,409","1,159","1,264","1,414","1,425","1,427","1,342","2,441","3,064","3,648","2,034","1,158",973,822
"Monroe County, New York",,"298,915","23,360","15,493","15,443","16,593","15,607","15,632","14,044","13,844","12,977","24,354","28,850","37,713","24,634","14,969","13,916","11,486"
"Montgomery County, New York",,"19,655","1,621","1,426","1,324","1,358","1,243",911,"1,077","1,054",875,"1,648","1,948","2,219","1,289",778,535,349
"Nassau County, New York",,"441,912","13,261","10,301","13,153","12,624","12,694","12,368","11,626","12,570","12,197","23,240","35,098","54,764","49,841","40,385","54,943","72,847"
"New York County, New York",,"745,089","71,440","39,207","33,700","28,936","25,469","25,862","22,169","22,935","19,385","40,231","53,881","73,515","58,051","41,516","56,607","132,185"
"Niagara County, New York",,"88,252","6,541","5,100","5,581","5,120","5,294","4,934","4,437","3,962","3,773","7,498","9,190","10,760","6,765","4,122","3,251","1,924"
"Oneida County, New York",,"90,821","6,885","5,704","5,435","5,584","5,025","5,020","4,389","4,449","3,689","7,671","9,798","10,884","6,981","3,673","3,451","2,183"
"Onondaga County, New York",,"185,089","14,572","10,092","9,534","9,303","9,406","8,677","8,515","8,362","7,135","14,466","19,846","23,260","15,703","9,963","8,890","7,365"
"Ontario County, New York",,"44,198","1,627","1,820","2,326","2,545","2,670","2,172","2,008","1,964","1,850","4,112","4,970","6,008","3,957","2,506","1,985","1,678"
"Orange County, New York",,"124,901","6,479","4,960","5,770","4,816","4,454","4,826","4,727","4,181","4,362","8,357","12,671","16,846","13,673","9,861","10,737","8,181"
"Orleans County, New York",,"15,894","1,055",910,"1,171",962,971,876,774,790,735,"1,561","1,728","1,965","1,205",629,406,156
"Oswego County, New York",,"45,300","3,672","2,485","2,620","2,614","2,575","2,864","2,195","2,573","1,893","3,694","4,476","5,969","3,513","1,868","1,494",795
"Otsego County, New York",,"23,798","1,701","1,521","1,375","1,495","1,423","1,427","1,203","1,159",931,"2,181","2,730","2,772","1,812",807,717,544
"Putnam County, New York",,"34,164",952,721,"1,012",900,997,"1,434","1,066",760,714,"1,999","2,655","4,466","4,135","3,684","4,005","4,664"
"Queens County, New York",,"780,069","55,668","36,557","38,878","40,835","36,490","35,593","33,471","35,166","30,677","61,002","79,120","101,851","70,646","43,732","47,036","33,347"
"Rensselaer County, New York",,"63,995","3,790","3,216","2,689","3,111","2,822","2,868","2,988","2,891","2,551","5,000","6,949","8,995","6,238","4,211","3,624","2,052"
"Richmond County, New York",,"165,079","11,241","6,381","6,412","6,639","6,297","5,424","5,512","5,683","4,739","10,333","14,860","22,729","18,366","12,825","15,978","11,660"
"Rockland County, New York",,"98,394","3,851","4,018","3,877","3,615","2,885","2,975","2,974","3,067","2,895","5,228","8,049","12,868","10,879","7,884","10,657","12,672"
"St. Lawrence County, New York",,"41,579","3,640","2,829","2,754","2,619","2,429","2,524","2,076","2,137","1,715","3,787","4,104","5,039","2,691","1,229","1,149",857
"Saratoga County, New York",,"89,876","3,135","3,172","3,076","3,399","4,049","3,364","3,377","3,609","3,254","7,196","9,955","13,247","10,564","7,065","6,255","5,159"
"Schenectady County, New York",,"57,846","3,607","3,200","3,074","2,966","2,662","2,666","2,637","2,465","2,126","4,807","6,497","7,858","5,452","3,035","2,855","1,939"
"Schoharie County, New York",,"12,739",753,845,700,706,556,714,796,567,537,"1,101","1,371","1,821","1,007",522,413,330
"Schuyler County, New York",,"7,759",409,517,416,488,399,419,418,449,420,642,"1,059",916,557,404,200,46
"Seneca County, New York",,"13,485",806,799,994,957,742,600,600,759,629,"1,147","1,346","1,892","1,141",491,391,191
"Steuben County, New York",,"41,285","2,955","2,706","2,482","2,188","2,517","2,309","2,311","2,128","2,026","3,706","4,532","4,962","2,828","1,539","1,269",827
"Suffolk County, New York",,"496,780","16,790","13,316","15,260","15,308","14,527","15,358","14,361","15,679","14,972","30,004","44,391","68,676","61,113","44,536","56,249","56,240"
"Sullivan County, New York",,"28,954","2,227","1,861","1,947","1,565","1,366","1,496","1,734","1,289","1,130","2,418","3,386","3,598","1,838","1,191","1,043",865
"Tioga County, New York",,"20,178",920,"1,146","1,079","1,335","1,026",942,862,840,722,"1,765","2,585","2,514","1,674","1,083","1,028",657
"Tompkins County, New York",,"38,340","4,151","2,068","1,854","1,741","1,822","1,764","1,601","2,003","1,482","2,646","4,073","4,384","2,995","1,838","2,036","1,882"
"Ulster County, New York",,"69,388","3,972","3,642","3,520","3,655","3,107","3,627","2,780","2,993","2,777","5,291","7,174","9,002","6,586","3,882","3,921","3,459"
"Warren County, New York",,"27,699","1,427","1,663","1,298","1,391","1,541","1,304","1,358","1,119","1,146","2,492","3,224","3,770","2,419","1,364","1,264",919
"Washington County, New York",,"24,165","1,214","1,408","1,412","1,470","1,284","1,441","1,130","1,383","1,059","2,183","3,034","3,399","1,748",879,739,382
"Wayne County, New York",,"36,479","1,868","1,699","1,836","2,183","2,367","2,513","1,891","1,585","1,653","3,366","3,883","5,312","2,920","1,571","1,214",618
"Westchester County, New York",,"342,956","16,073","11,804","12,551","12,149","11,972","11,756","11,205","11,494","9,587","20,717","27,390","38,497","32,218","23,538","32,608","59,397"
"Wyoming County, New York",,"15,691",686,714,"1,082",853,958,796,734,760,825,"1,484","1,929","2,433","1,384",499,385,169
"Yates County, New York",,"9,642",526,648,525,497,498,608,398,462,654,753,"1,130","1,336",625,279,375,328
"Alamance County, North Carolina",,"61,046","4,861","4,325","4,247","4,517","3,711","4,272","3,008","3,199","3,080","4,647","5,654","6,802","3,700","2,231","1,436","1,356"
"Alexander County, North Carolina",,"13,721","1,053","1,128",949,"1,051",820,917,728,661,767,"1,133","1,442","1,680",639,436,186,131
"Alleghany County, North Carolina",,"4,752",506,444,464,337,351,255,359,243,305,331,235,541,167,114,58,42
"Anson County, North Carolina",,"9,549","1,146",906,689,697,801,738,534,691,474,596,769,721,434,93,115,145
"Ashe County, North Carolina",,"11,746","1,210","1,013",968,893,927,648,800,521,640,837,"1,156","1,039",500,233,234,127
"Avery County, North Carolina",,"7,174",716,574,565,539,484,411,444,369,370,575,681,612,368,92,145,229
"Beaufort County, North Carolina",,"18,894","2,252","1,462","1,249","1,055","1,232",940,"1,081","1,203",756,"1,655","1,714","2,201","1,022",438,385,249
"Bertie County, North Carolina",,"7,662","1,035",877,765,530,709,527,404,404,276,344,607,537,262,196,163,26
"Bladen County, North Carolina",,"14,407","2,093","1,827","1,179","1,215",967,692,606,553,511,985,"1,094","1,529",522,271,208,155
"Brunswick County, North Carolina",,"48,331","3,318","3,119","3,246","2,634","2,975","2,806","2,735","2,295","2,719","4,033","5,241","5,496","3,374","1,877","1,359","1,104"
"Buncombe County, North Carolina",,"101,645","7,233","7,305","5,825","6,106","6,499","5,778","5,685","5,786","4,835","8,767","10,323","10,523","6,981","3,556","3,529","2,914"
"Burke County, North Carolina",,"34,597","3,031","2,944","2,684","2,866","2,325","2,261","1,887","1,605","1,673","2,764","3,527","3,481","1,681",786,648,434
"Cabarrus County, North Carolina",,"65,693","3,474","3,412","3,093","3,280","3,163","3,071","3,671","3,235","3,307","5,987","6,856","9,240","4,927","3,765","3,158","2,054"
"Caldwell County, North Carolina",,"31,354","3,248","3,366","2,415","2,267","2,339","2,105","1,668","1,418","1,562","2,578","2,952","2,944","1,176",557,307,452
"Camden County, North Carolina",,"3,609",126,149,191,139,40,157,122,254,230,357,436,552,394,213,188,61
"Carteret County, North Carolina",,"29,352","2,071","1,868","1,836","1,431","1,863","1,660","1,948","1,456","1,417","2,453","2,896","3,656","1,952",993,"1,063",789
"Caswell County, North Carolina",,"8,608",764,972,651,538,440,550,638,434,363,767,790,937,483,109,102,70
"Catawba County, North Carolina",,"58,424","3,974","3,757","3,211","3,784","4,222","4,034","2,867","3,120","3,061","5,240","6,234","6,697","3,393","1,626","1,761","1,443"
"Chatham County, North Carolina",,"26,474","1,602","1,419","1,284","1,501","1,584",987,953,"1,211","1,082","2,338","2,972","2,950","2,254","1,396","1,355","1,586"
"Cherokee County, North Carolina",,"10,503","1,283",681,821,906,865,788,596,612,453,866,928,"1,031",294,112,223,44
"Chowan County, North Carolina",,"6,036",856,355,403,596,478,224,337,221,258,366,512,590,362,247,148,83
"Clay County, North Carolina",,"4,351",547,225,392,349,291,280,265,245,228,314,339,378,229,144,64,61
"Cleveland County, North Carolina",,"37,407","3,951","3,339","3,031","2,572","2,386","2,102","1,625","1,972","1,747","3,359","3,540","3,957","1,819",753,678,576
"Columbus County, North Carolina",,"22,131","2,881","2,439","1,539","1,377","1,564","1,374","1,283","1,045",881,"1,810","1,659","1,942",978,814,315,230
"Craven County, North Carolina",,"39,930","3,311","2,561","1,717","2,329","2,274","2,354","2,309","2,246","1,933","3,556","4,700","4,878","2,612","1,315",931,904
"Cumberland County, North Carolina",,"122,288","10,389","6,692","6,676","7,710","7,693","8,221","6,919","7,135","6,302","10,949","12,211","13,845","7,992","3,700","3,621","2,233"
"Currituck County, North Carolina",,"9,124",364,285,452,430,577,455,356,364,402,975,967,"1,386",904,720,356,131
"Dare County, North Carolina",,"14,852",578,702,443,624,917,612,805,884,829,"1,811","1,690","2,029","1,037",804,528,559
"Davidson County, North Carolina",,"64,254","4,877","4,733","3,298","4,367","4,071","4,314","4,058","3,862","2,749","5,376","6,810","7,384","4,222","1,731","1,398","1,004"
"Davie County, North Carolina",,"16,117","1,198",887,794,"1,008",824,878,849,773,908,"1,482","1,719","1,934",878,687,610,688
"Duplin County, North Carolina",,"22,027","2,659","1,992","1,426","1,873","1,695","1,420","1,197","1,217",991,"1,761","1,924","2,226",737,348,342,219
"Durham County, North Carolina",,"113,564","9,126","5,250","6,101","6,102","6,181","6,364","4,936","5,363","5,221","9,250","10,821","13,536","8,586","5,806","5,574","5,347"
"Edgecombe County, North Carolina",,"20,987","2,401","2,122","1,433","1,410","1,808","1,689","1,045","1,289",874,"1,534","1,904","1,896",830,344,223,185
"Forsyth County, North Carolina",,"141,901","11,842","7,861","9,634","8,299","9,363","8,463","7,345","6,920","6,126","11,010","13,710","16,131","9,664","5,419","4,841","5,273"
"Franklin County, North Carolina",,"23,395","1,855","1,240","1,702","1,634","1,801","1,637","1,157",990,"1,171","1,759","2,317","2,751","1,598",787,655,341
