,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Lincoln County, Arkansas",,"14,134","9,678","4,231",51,37,1,136
"Little River County, Arkansas",,"13,171","10,137","2,530",207,39,3,255
"Logan County, Arkansas",,"22,353","21,059",309,244,371,4,366
"Lonoke County, Arkansas",,"68,356","62,154","4,104",404,557,58,"1,079"
"Madison County, Arkansas",,"15,717","15,136",36,224,87,11,223
"Marion County, Arkansas",,"16,653","16,209",32,118,38,8,248
"Miller County, Arkansas",,"43,462","31,533","10,753",311,203,20,642
"Mississippi County, Arkansas",,"46,480","29,618","15,897",176,246,9,534
"Monroe County, Arkansas",,"8,149","4,645","3,341",37,36,0,90
"Montgomery County, Arkansas",,"9,487","9,106",39,92,54,2,194
"Nevada County, Arkansas",,"8,997","6,056","2,772",37,26,1,105
"Newton County, Arkansas",,"8,330","8,023",9,90,25,1,182
"Ouachita County, Arkansas",,"26,120","15,033","10,506",91,96,9,385
"Perry County, Arkansas",,"10,445","10,009",196,71,18,2,149
"Phillips County, Arkansas",,"21,757","7,691","13,758",59,67,1,181
"Pike County, Arkansas",,"11,291","10,599",347,102,77,1,165
"Poinsett County, Arkansas",,"24,583","22,373","1,799",63,46,9,293
"Polk County, Arkansas",,"20,662","19,678",74,377,99,5,429
"Pope County, Arkansas",,"61,754","57,476","1,812",585,630,45,"1,206"
"Prairie County, Arkansas",,"8,715","7,544","1,066",26,6,3,70
"Pulaski County, Arkansas",,"382,748","230,673","134,917","2,151","7,716",440,"6,851"
"Randolph County, Arkansas",,"17,969","17,488",131,98,33,5,214
"St. Francis County, Arkansas",,"28,258","12,865","14,735",185,138,11,324
"Saline County, Arkansas",,"107,118","99,081","5,080",635,956,33,"1,333"
"Scott County, Arkansas",,"11,233","10,312",54,226,404,3,234
"Searcy County, Arkansas",,"8,195","7,899",12,97,11,2,174
"Sebastian County, Arkansas",,"125,744","105,239","8,277","2,805","5,302",213,"3,908"
"Sevier County, Arkansas",,"17,058","15,284",759,571,73,14,357
"Sharp County, Arkansas",,"17,264","16,678",95,171,50,2,268
"Stone County, Arkansas",,"12,394","12,064",11,87,45,4,183
"Union County, Arkansas",,"41,639","26,964","13,776",173,223,16,487
"Van Buren County, Arkansas",,"17,295","16,724",72,130,57,2,310
"Washington County, Arkansas",,"203,065","180,130","6,324","2,903","4,593","4,285","4,830"
"White County, Arkansas",,"77,076","71,682","3,105",479,450,42,"1,318"
"Woodruff County, Arkansas",,"7,260","5,112","2,005",22,15,5,101
"Yell County, Arkansas",,"22,185","21,064",367,176,320,14,244
"Alameda County, California",,"1,510,271","799,607","199,315","17,735","403,695","14,763","75,156"
"Alpine County, California",,"1,175",896,0,243,7,0,29
"Amador County, California",,"38,091","34,567","1,017",804,454,87,"1,162"
"Butte County, California",,"220,000","192,577","3,709","5,155","9,338",547,"8,674"
"Calaveras County, California",,"45,578","42,199",408,802,611,81,"1,477"
"Colusa County, California",,"21,419","19,737",223,589,337,111,422
"Contra Costa County, California",,"1,049,025","724,805","102,211","10,314","156,532","5,893","49,270"
"Del Norte County, California",,"28,610","22,805","1,094","2,458",991,38,"1,224"
"El Dorado County, California",,"181,058","164,370","1,512","2,467","6,494",355,"5,860"
"Fresno County, California",,"930,450","723,512","55,578","28,027","95,358","2,319","25,656"
"Glenn County, California",,"28,122","25,405",287,844,795,43,748
