,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Pulaski County, Missouri",,"52,274","41,629","6,212",451,"1,406",332,"2,244"
"Putnam County, Missouri",,"4,979","4,897",9,7,24,1,41
"Ralls County, Missouri",,"10,167","9,923",108,14,20,12,90
"Randolph County, Missouri",,"25,414","23,216","1,501",78,111,3,505
"Ray County, Missouri",,"23,494","22,700",295,122,66,18,293
"Reynolds County, Missouri",,"6,696","6,494",46,41,12,1,102
"Ripley County, Missouri",,"14,100","13,695",49,124,47,1,184
"St. Charles County, Missouri",,"360,485","330,356","15,183",974,"8,019",207,"5,746"
"St. Clair County, Missouri",,"9,805","9,519",54,69,12,1,150
"Ste. Genevieve County, Missouri",,"18,145","17,750",118,56,50,2,169
"St. Francois County, Missouri",,"65,359","61,339","2,786",257,246,32,699
"St. Louis County, Missouri",,"998,954","709,884","234,276","2,285","35,109",376,"17,024"
"Saline County, Missouri",,"23,370","21,155","1,273",158,139,162,483
"Schuyler County, Missouri",,"4,431","4,380",1,10,10,0,30
"Scotland County, Missouri",,"4,843","4,794",3,12,11,0,23
"Scott County, Missouri",,"39,191","33,872","4,495",92,133,13,586
"Shannon County, Missouri",,"8,441","8,138",26,77,15,0,185
"Shelby County, Missouri",,"6,373","6,270",32,11,13,0,47
"Stoddard County, Missouri",,"29,968","29,248",277,124,51,5,263
"Stone County, Missouri",,"32,202","31,446",55,188,101,10,402
"Sullivan County, Missouri",,"6,714","6,551",43,49,12,16,43
"Taney County, Missouri",,"51,675","49,364",480,468,346,47,970
"Texas County, Missouri",,"26,008","24,400",877,184,85,10,452
"Vernon County, Missouri",,"21,159","20,499",103,157,109,13,278
"Warren County, Missouri",,"32,513","31,035",630,163,143,11,531
"Washington County, Missouri",,"25,195","24,200",557,101,48,5,284
"Wayne County, Missouri",,"13,521","13,183",40,57,32,3,206
"Webster County, Missouri",,"36,202","34,998",328,249,78,11,538
"Worth County, Missouri",,"2,171","2,137",14,6,6,0,8
"Wright County, Missouri",,"18,815","18,340",91,108,54,8,214
"St. Louis city, Missouri",,"319,294","144,058","157,894",976,"9,454",94,"6,818"
"Beaverhead County, Montana",,"9,246","8,883",23,135,36,38,131
"Big Horn County, Montana",,"12,865","4,094",31,"8,369",59,3,309
"Blaine County, Montana",,"6,491","3,143",7,"3,217",6,1,117
"Broadwater County, Montana",,"5,612","5,424",17,73,9,11,78
"Carbon County, Montana",,"10,078","9,838",35,87,22,3,93
"Carter County, Montana",,"1,160","1,140",1,12,1,0,6
"Cascade County, Montana",,"81,327","73,147","1,045","3,572",699,95,"2,769"
"Chouteau County, Montana",,"5,813","4,423",3,"1,270",21,6,90
"Custer County, Montana",,"11,699","11,231",34,208,37,9,180
"Daniels County, Montana",,"1,751","1,679",3,37,4,0,28
"Dawson County, Montana",,"8,966","8,615",27,161,27,4,132
"Deer Lodge County, Montana",,"9,298","8,710",39,297,32,4,216
"Fallon County, Montana",,"2,890","2,823",2,12,17,2,34
"Fergus County, Montana",,"11,586","11,231",25,144,27,0,159
"Flathead County, Montana",,"90,928","87,233",214,"1,068",535,62,"1,816"
"Gallatin County, Montana",,"89,513","85,776",312,807,"1,055",84,"1,479"
"Garfield County, Montana",,"1,206","1,191",3,5,1,0,6
"Glacier County, Montana",,"13,399","4,182",17,"8,807",26,2,365
"Golden Valley County, Montana",,884,851,4,9,6,0,14
"Granite County, Montana",,"3,079","3,011",3,13,3,1,48
"Hill County, Montana",,"16,096","11,951",50,"3,511",68,10,506
"Jefferson County, Montana",,"11,406","10,941",16,165,40,2,242
"Judith Basin County, Montana",,"2,072","2,038",1,17,2,0,14
"Lake County, Montana",,"28,746","20,087",101,"6,395",120,18,"2,025"
"Lewis and Clark County, Montana",,"63,395","59,982",223,"1,360",359,48,"1,423"
"Liberty County, Montana",,"2,339","2,301",2,5,3,1,27
"Lincoln County, Montana",,"19,687","18,986",32,183,60,9,417
"McCone County, Montana",,"1,734","1,701",4,7,2,0,20
"Madison County, Montana",,"7,691","7,504",15,39,26,1,106
"Meagher County, Montana",,"1,891","1,854",2,6,6,0,23
"Mineral County, Montana",,"4,223","4,025",11,64,30,0,93
"Missoula County, Montana",,"109,299","101,861",462,"2,952","1,253",111,"2,660"
"Musselshell County, Montana",,"4,538","4,387",11,61,10,2,67
"Park County, Montana",,"15,636","15,187",22,134,59,7,227
"Petroleum County, Montana",,494,491,0,0,0,0,3
"Phillips County, Montana",,"4,253","3,729",1,357,11,1,154
"Pondera County, Montana",,"6,153","5,102",7,891,13,0,140
"Powder River County, Montana",,"1,743","1,677",1,30,3,0,32
"Powell County, Montana",,"7,027","6,523",69,312,33,2,88
"Prairie County, Montana",,"1,179","1,141",0,2,6,0,30
"Ravalli County, Montana",,"40,212","38,796",79,384,211,25,717
"Richland County, Montana",,"9,746","9,367",13,167,27,1,171
"Roosevelt County, Montana",,"10,425","3,748",13,"6,316",45,2,301
"Rosebud County, Montana",,"9,233","5,702",25,"3,215",42,3,246
"Sanders County, Montana",,"11,413","10,515",17,511,34,1,335
"Sheridan County, Montana",,"3,384","3,242",7,57,14,0,64
"Silver Bow County, Montana",,"34,200","32,543",117,689,169,33,649
"Stillwater County, Montana",,"9,117","8,866",15,73,29,2,132
"Sweet Grass County, Montana",,"3,651","3,549",4,17,24,1,56
"Teton County, Montana",,"6,073","5,867",3,88,8,1,106
"Toole County, Montana",,"5,324","4,928",30,245,23,2,96
"Treasure County, Montana",,718,689,0,7,3,0,19
"Valley County, Montana",,"7,369","6,435",17,730,37,3,147
"Wheatland County, Montana",,"2,168","2,095",7,10,12,0,44
"Wibaux County, Montana",,"1,017",999,0,4,5,0,9
"Yellowstone County, Montana",,"147,972","136,095",993,"6,188",969,123,"3,604"
"Adams County, Nebraska",,"31,364","30,064",273,213,458,28,328
"Antelope County, Nebraska",,"6,685","6,598",19,16,24,0,28
"Arthur County, Nebraska",,460,446,0,2,1,0,11
"Banner County, Nebraska",,690,682,0,3,0,0,5
"Blaine County, Nebraska",,478,474,1,0,0,0,3
"Boone County, Nebraska",,"5,505","5,437",24,12,11,1,20
"Box Butte County, Nebraska",,"11,308","10,523",52,471,36,3,223
"Boyd County, Nebraska",,"2,099","2,052",2,16,17,2,10
"Brown County, Nebraska",,"3,145","3,101",2,9,7,0,26
"Buffalo County, Nebraska",,"46,102","44,385",403,170,604,44,496
"Burt County, Nebraska",,"6,858","6,613",29,118,17,6,75
"Butler County, Nebraska",,"8,395","8,285",24,15,27,0,44
"Cass County, Nebraska",,"25,241","24,643",89,95,87,14,313
"Cedar County, Nebraska",,"8,852","8,767",7,23,7,0,48
"Chase County, Nebraska",,"3,966","3,931",5,4,4,0,22
"Cherry County, Nebraska",,"5,713","5,203",13,336,20,1,140
"Cheyenne County, Nebraska",,"9,998","9,636",20,76,159,5,102
"Clay County, Nebraska",,"6,542","6,369",25,63,12,17,56
"Colfax County, Nebraska",,"10,515","9,903",158,288,35,51,80
"Cuming County, Nebraska",,"9,139","8,970",13,36,28,6,86
"Custer County, Nebraska",,"10,939","10,763",31,40,15,1,89
"Dakota County, Nebraska",,"21,006","18,578",694,741,658,66,269
"Dawes County, Nebraska",,"9,182","8,316",134,365,99,46,222
"Dawson County, Nebraska",,"24,326","22,644",818,408,167,50,239
"Deuel County, Nebraska",,"1,941","1,905",1,15,5,0,15
"Dixon County, Nebraska",,"6,000","5,890",24,23,11,8,44
"Dodge County, Nebraska",,"36,691","35,411",270,296,210,137,367
"Douglas County, Nebraska",,"517,110","422,648","61,634","5,829","14,222",577,"12,200"
"Dundy County, Nebraska",,"2,008","1,953",7,20,2,4,22
"Fillmore County, Nebraska",,"5,890","5,777",37,33,15,0,28
"Franklin County, Nebraska",,"3,225","3,170",2,16,3,0,34
"Frontier County, Nebraska",,"2,756","2,724",0,8,4,0,20
"Furnas County, Nebraska",,"4,959","4,866",11,20,10,2,50
"Gage County, Nebraska",,"22,311","21,771",74,116,93,3,254
"Garden County, Nebraska",,"2,057","2,017",4,12,0,0,24
"Garfield County, Nebraska",,"2,049","2,038",3,0,2,1,5
"Gosper County, Nebraska",,"2,044","2,000",9,4,4,0,27
"Grant County, Nebraska",,614,607,0,1,1,0,5
"Greeley County, Nebraska",,"2,538","2,497",16,5,2,0,18
"Hall County, Nebraska",,"58,607","54,749","1,217",980,673,282,706
"Hamilton County, Nebraska",,"9,124","9,019",19,15,18,1,52
"Harlan County, Nebraska",,"3,423","3,384",1,15,7,0,16
"Hayes County, Nebraska",,967,960,0,2,3,1,1
"Hitchcock County, Nebraska",,"2,908","2,857",7,14,3,0,27
"Holt County, Nebraska",,"10,435","10,298",18,47,23,10,39
"Hooker County, Nebraska",,736,729,0,4,0,0,3
"Howard County, Nebraska",,"6,274","6,157",15,27,12,2,61
"Jefferson County, Nebraska",,"7,547","7,404",28,32,19,2,62
"Johnson County, Nebraska",,"5,217","4,774",281,61,73,0,28
"Kearney County, Nebraska",,"6,489","6,381",12,24,13,3,56
"Keith County, Nebraska",,"8,368","8,151",24,51,41,0,101
"Keya Paha County, Nebraska",,824,817,0,1,1,0,5
"Kimball County, Nebraska",,"3,821","3,666",6,57,27,2,63
"Knox County, Nebraska",,"8,701","7,768",8,789,17,5,114
"Lancaster County, Nebraska",,"285,407","255,284","10,342","2,559","10,110",181,"6,931"
"Lincoln County, Nebraska",,"36,288","35,100",277,273,201,18,419
"Logan County, Nebraska",,763,752,1,7,1,0,2
"Loup County, Nebraska",,632,630,1,1,0,0,0
"McPherson County, Nebraska",,539,531,2,0,0,0,6
"Madison County, Nebraska",,"34,876","33,126",524,544,186,29,467
"Merrick County, Nebraska",,"7,845","7,661",22,35,60,6,61
"Morrill County, Nebraska",,"5,042","4,896",12,70,18,0,46
"Nance County, Nebraska",,"3,735","3,685",8,14,2,0,26
"Nemaha County, Nebraska",,"7,248","7,054",64,23,33,2,72
"Nuckolls County, Nebraska",,"4,500","4,427",6,10,9,0,48
"Otoe County, Nebraska",,"15,740","15,372",78,46,68,23,153
"Pawnee County, Nebraska",,"2,773","2,720",9,4,8,0,32
"Perkins County, Nebraska",,"2,970","2,935",17,7,5,0,6
"Phelps County, Nebraska",,"9,188","9,045",14,35,23,4,67
"Pierce County, Nebraska",,"7,266","7,177",16,21,12,0,40
"Platte County, Nebraska",,"32,237","31,173",189,374,169,47,285
"Polk County, Nebraska",,"5,406","5,324",11,14,6,2,49
"Red Willow County, Nebraska",,"11,055","10,777",83,56,34,1,104
"Richardson County, Nebraska",,"8,363","7,913",15,262,27,1,145
"Rock County, Nebraska",,"1,526","1,508",1,9,3,0,5
"Saline County, Nebraska",,"14,200","13,461",162,136,232,64,145
"Sarpy County, Nebraska",,"158,840","143,422","6,634",953,"3,463",195,"4,173"
"Saunders County, Nebraska",,"20,780","20,384",73,62,83,1,177
"Scotts Bluff County, Nebraska",,"36,970","34,993",246,995,236,42,458
"Seward County, Nebraska",,"16,750","16,404",60,54,72,2,158
"Sheridan County, Nebraska",,"5,469","4,649",12,625,18,10,155
"Sherman County, Nebraska",,"3,152","3,127",3,2,9,0,11
"Sioux County, Nebraska",,"1,311","1,284",1,8,1,0,17
"Stanton County, Nebraska",,"6,129","5,990",45,35,6,1,52
"Thayer County, Nebraska",,"5,228","5,148",13,8,16,0,43
"Thomas County, Nebraska",,647,641,1,1,2,0,2
"Thurston County, Nebraska",,"6,940","2,833",17,"3,978",6,2,104
"Valley County, Nebraska",,"4,260","4,203",6,6,13,2,30
"Washington County, Nebraska",,"20,234","19,813",127,48,54,14,178
"Wayne County, Nebraska",,"9,595","9,270",136,38,50,15,86
"Webster County, Nebraska",,"3,812","3,716",18,8,11,10,49
"Wheeler County, Nebraska",,818,808,0,1,4,0,5
"York County, Nebraska",,"13,665","13,257",161,59,64,8,116
"Churchill County, Nevada",,"24,877","21,509",424,"1,226",718,55,945
"Clark County, Nevada",,"1,951,269","1,445,825","215,789","22,542","175,627","15,616","75,870"
"Douglas County, Nevada",,"46,997","43,747",211,948,748,81,"1,262"
"Elko County, Nevada",,"48,818","43,792",460,"2,957",496,86,"1,027"
"Esmeralda County, Nevada",,783,728,0,33,3,0,19
"Eureka County, Nevada",,"1,987","1,877",6,51,18,0,35
"Humboldt County, Nevada",,"16,528","15,140",110,776,137,31,334
"Lander County, Nevada",,"5,775","5,346",34,275,23,1,96
"Lincoln County, Nevada",,"5,345","4,994",134,63,40,16,98
"Lyon County, Nevada",,"51,980","47,431",473,"1,579",767,142,"1,588"
"Mineral County, Nevada",,"4,772","3,556",210,756,58,6,186
"Nye County, Nevada",,"43,946","40,081",922,829,607,235,"1,272"
"Pershing County, Nevada",,"6,753","5,987",261,257,88,10,150
"Storey County, Nevada",,"4,010","3,743",40,67,68,15,77
"Washoe County, Nevada",,"421,407","363,861","10,624","8,730","22,758","2,871","12,563"
"White Pine County, Nevada",,"10,030","8,880",398,433,98,10,211
"Carson City, Nevada",,"55,274","49,997","1,128","1,443","1,224",132,"1,350"
"Belknap County, New Hampshire",,"60,088","58,228",290,135,715,14,706
"Carroll County, New Hampshire",,"47,818","46,719",145,137,310,9,498
"Cheshire County, New Hampshire",,"77,117","74,540",417,203,932,20,"1,005"
"Coos County, New Hampshire",,"33,055","32,172",154,131,171,1,426
"Grafton County, New Hampshire",,"89,118","83,773",865,343,"2,685",19,"1,433"
"Hillsborough County, New Hampshire",,"400,721","370,188","9,275","1,223","13,223",257,"6,555"
"Merrimack County, New Hampshire",,"146,445","140,201","1,577",405,"2,366",45,"1,851"
"Rockingham County, New Hampshire",,"295,223","283,814","2,146",519,"5,021",112,"3,611"
"Strafford County, New Hampshire",,"123,143","116,136","1,306",297,"3,235",50,"2,119"
"Sullivan County, New Hampshire",,"43,742","42,550",190,137,275,5,585
"Atlantic County, New Jersey",,"274,549","197,552","47,540","1,806","21,258",177,"6,216"
"Bergen County, New Jersey",,"905,116","694,514","57,909","3,377","133,573",575,"15,168"
"Burlington County, New Jersey",,"448,734","339,076","77,123","1,235","19,915",287,"11,098"
"Camden County, New Jersey",,"513,657","365,262","107,647","2,968","26,927",450,"10,403"
"Cape May County, New Jersey",,"97,265","89,627","4,892",282,873,55,"1,536"
"Cumberland County, New Jersey",,"156,898","114,501","33,798","2,479","2,104",160,"3,856"
"Essex County, New Jersey",,"783,969","392,077","333,844","5,140","37,286",960,"14,662"
"Gloucester County, New Jersey",,"288,288","244,792","29,775",585,"7,766",147,"5,223"
"Hudson County, New Jersey",,"634,266","426,529","95,899","7,437","88,763","1,136","14,502"
"Hunterdon County, New Jersey",,"128,349","118,741","3,638",226,"4,267",48,"1,429"
"Mercer County, New Jersey",,"366,513","246,145","77,111","2,161","33,468",648,"6,980"
"Middlesex County, New Jersey",,"809,858","526,805","85,023","4,860","177,797",814,"14,559"
"Monmouth County, New Jersey",,"630,380","538,302","48,311","1,843","31,950",301,"9,673"
"Morris County, New Jersey",,"492,276","422,199","16,261","1,333","44,896",165,"7,422"
"Ocean County, New Jersey",,"576,567","538,801","19,201","1,591","10,363",189,"6,422"
"Passaic County, New Jersey",,"501,226","382,092","73,510","7,232","26,581",832,"10,979"
"Salem County, New Jersey",,"66,083","54,344","9,587",313,583,16,"1,240"
"Somerset County, New Jersey",,"323,444","239,960","30,206",885,"46,529",184,"5,680"
"Sussex County, New Jersey",,"149,265","141,460","2,808",301,"2,700",45,"1,951"
"Union County, New Jersey",,"536,499","373,483","123,961","3,657","25,846",471,"9,081"
"Warren County, New Jersey",,"108,692","100,236","3,961",196,"2,767",71,"1,461"
"Bernalillo County, New Mexico",,"662,564","567,277","22,507","36,720","16,900","1,172","17,988"
"Catron County, New Mexico",,"3,725","3,501",16,105,8,0,95
"Chaves County, New Mexico",,"65,645","61,025","1,660","1,247",534,130,"1,049"
"Cibola County, New Mexico",,"27,213","14,724",314,"11,457",161,31,526
"Colfax County, New Mexico",,"13,750","13,081",84,261,51,20,253
"Curry County, New Mexico",,"48,376","41,963","3,411",944,705,80,"1,273"
"De Baca County, New Mexico",,"2,022","1,936",3,17,3,0,63
"Do–a Ana County, New Mexico",,"209,233","194,247","4,320","4,381","2,563",308,"3,414"
"Eddy County, New Mexico",,"53,829","50,505",901,"1,181",413,49,780
"Grant County, New Mexico",,"29,514","27,986",291,496,143,29,569
"Guadalupe County, New Mexico",,"4,687","4,347",90,113,65,0,72
"Harding County, New Mexico",,695,679,2,10,0,0,4
"Hidalgo County, New Mexico",,"4,894","4,727",41,48,24,4,50
"Lea County, New Mexico",,"64,727","59,541","2,875","1,038",372,62,839
"Lincoln County, New Mexico",,"20,497","19,424",151,540,83,40,259
"Los Alamos County, New Mexico",,"17,950","16,214",105,161,"1,080",14,376
"Luna County, New Mexico",,"25,095","23,760",339,502,147,37,310
"McKinley County, New Mexico",,"71,492","13,623",425,"55,155",620,37,"1,632"
"Mora County, New Mexico",,"4,881","4,638",44,122,19,1,57
"Otero County, New Mexico",,"63,797","53,966","2,437","4,558",812,214,"1,810"
"Quay County, New Mexico",,"9,041","8,484",120,168,98,5,166
"Rio Arriba County, New Mexico",,"40,246","31,711",289,"7,312",210,76,648
"Roosevelt County, New Mexico",,"19,846","18,533",399,373,187,19,335
"Sandoval County, New Mexico",,"131,561","104,785","3,164","17,824","2,137",224,"3,427"
"San Juan County, New Mexico",,"130,044","76,597",884,"48,692",564,93,"3,214"
"San Miguel County, New Mexico",,"29,393","27,246",505,774,295,52,521
"Santa Fe County, New Mexico",,"144,170","132,178","1,473","5,663","1,850",255,"2,751"
"Sierra County, New Mexico",,"11,988","11,318",53,267,50,3,297
"Socorro County, New Mexico",,"17,866","14,936",200,"2,153",245,17,315
"Taos County, New Mexico",,"32,937","29,210",213,"2,374",277,29,834
"Torrance County, New Mexico",,"16,383","15,027",304,551,77,27,397
"Union County, New Mexico",,"4,549","4,265",81,113,24,1,65
"Valencia County, New Mexico",,"76,569","69,538","1,305","3,570",536,103,"1,517"
"Albany County, New York",,"304,204","241,268","40,240",808,"14,864",146,"6,878"
"Allegany County, New York",,"48,946","47,261",556,124,468,13,524
"Bronx County, New York",,"1,385,108","630,493","607,289","41,052","57,062","5,766","43,446"
"Broome County, New York",,"200,600","178,091","10,147",419,"7,188",99,"4,656"
"Cattaraugus County, New York",,"80,317","74,923","1,058","2,480",551,15,"1,290"
"Cayuga County, New York",,"80,026","74,560","3,378",313,401,40,"1,334"
"Chautauqua County, New York",,"134,905","127,420","3,533",800,725,59,"2,368"
"Chemung County, New York",,"88,830","79,282","5,965",252,"1,086",25,"2,220"
"Chenango County, New York",,"50,477","49,145",358,178,207,6,583
"Clinton County, New York",,"82,128","76,443","3,363",294,908,25,"1,095"
"Columbia County, New York",,"63,096","57,756","2,983",154,"1,016",27,"1,160"
"Cortland County, New York",,"49,336","47,179",796,152,423,9,777
"Delaware County, New York",,"47,980","46,069",820,146,381,16,548
"Dutchess County, New York",,"297,488","247,729","31,004","1,335","10,747",195,"6,478"
"Erie County, New York",,"919,040","746,807","126,766","6,349","24,248",309,"14,561"
"Essex County, New York",,"39,370","37,385","1,138",169,267,10,401
"Franklin County, New York",,"51,599","43,705","3,268","3,801",220,10,595
"Fulton County, New York",,"55,531","53,249","1,111",122,327,14,708
"Genesee County, New York",,"60,079","56,343","1,687",687,362,6,994
"Greene County, New York",,"49,221","44,933","2,943",159,399,21,766
"Hamilton County, New York",,"4,836","4,711",35,13,24,4,49
"Herkimer County, New York",,"64,519","62,581",724,161,335,13,705
"Jefferson County, New York",,"116,229","104,652","6,133",638,"1,592",336,"2,878"
"Kings County, New York",,"2,504,700","1,240,321","914,067","26,144","269,251","3,423","51,494"
"Lewis County, New York",,"27,087","26,529",197,54,76,17,214
"Livingston County, New York",,"65,393","61,842","1,670",204,813,24,840
"Madison County, New York",,"73,442","70,020","1,400",536,590,19,877
"Monroe County, New York",,"744,344","581,941","118,184","2,578","24,833",418,"16,390"
"Montgomery County, New York",,"50,219","47,652","1,138",216,393,49,771
"Nassau County, New York",,"1,339,532","1,048,773","157,896","5,985","106,214","1,054","19,610"
"New York County, New York",,"1,585,873","1,039,141","294,120","19,240","184,345","2,645","46,382"
"Niagara County, New York",,"216,469","192,748","15,054","2,343","1,870",67,"4,387"
"Oneida County, New York",,"234,878","207,742","15,455",710,"6,682",115,"4,174"
"Onondaga County, New York",,"467,026","383,096","53,098","4,069","14,686",188,"11,889"
"Ontario County, New York",,"107,931","102,237","2,572",313,"1,142",36,"1,631"
"Orange County, New York",,"372,813","309,719","41,281","2,955","9,435",300,"9,123"
"Orleans County, New York",,"42,883","39,072","2,597",277,191,13,733
"Oswego County, New York",,"122,109","118,319","1,052",552,739,21,"1,426"
"Otsego County, New York",,"62,259","59,333","1,154",134,699,26,913
"Putnam County, New York",,"99,710","93,431","2,550",256,"1,958",52,"1,463"
"Queens County, New York",,"2,230,722","1,130,036","469,784","29,628","539,400","4,725","57,149"
"Rensselaer County, New York",,"159,429","141,023","10,783",436,"3,603",48,"3,536"
"Richmond County, New York",,"468,730","366,865","54,132","3,018","36,238",444,"8,033"
"Rockland County, New York",,"311,687","245,232","39,087","1,580","19,962",350,"5,476"
"St. Lawrence County, New York",,"111,944","105,636","2,580","1,183","1,113",51,"1,381"
"Saratoga County, New York",,"219,607","208,442","3,379",428,"3,998",49,"3,311"
"Schenectady County, New York",,"154,727","126,643","16,390",876,"5,751",252,"4,815"
"Schoharie County, New York",,"32,749","31,570",470,74,223,9,403
"Schuyler County, New York",,"18,343","17,857",164,47,53,4,218
"Seneca County, New York",,"35,251","32,814","1,669",107,253,2,406
"Steuben County, New York",,"98,990","94,672","1,564",242,"1,194",28,"1,290"
"Suffolk County, New York",,"1,493,350","1,288,247","119,001","8,133","53,110","1,137","23,722"
"Sullivan County, New York",,"77,547","66,556","7,475",501,"1,148",43,"1,824"
"Tioga County, New York",,"51,125","49,725",388,91,380,18,523
"Tompkins County, New York",,"101,564","84,971","4,208",410,"8,873",52,"3,050"
"Ulster County, New York",,"182,493","162,532","11,684",772,"3,199",60,"4,246"
"Warren County, New York",,"65,707","63,628",612,153,463,9,842
"Washington County, New York",,"63,216","60,179","1,988",147,273,18,611
"Wayne County, New York",,"93,772","88,335","2,983",298,504,29,"1,623"
"Westchester County, New York",,"949,113","719,053","148,215","7,556","53,834","1,029","19,426"
"Wyoming County, New York",,"42,155","38,987","2,502",149,165,8,344
"Yates County, New York",,"25,348","24,757",209,45,100,4,233
"Alamance County, North Carolina",,"151,131","115,442","28,926","2,067","1,925",100,"2,671"
"Alexander County, North Carolina",,"37,198","34,149","2,091",146,365,12,435
"Alleghany County, North Carolina",,"11,155","10,776",160,53,58,3,105
"Anson County, North Carolina",,"26,948","13,000","13,120",194,296,16,322
"Ashe County, North Carolina",,"27,281","26,624",200,76,106,12,263
"Avery County, North Carolina",,"17,797","16,802",713,90,59,8,125
"Beaufort County, North Carolina",,"47,759","34,176","12,395",408,190,28,562
"Bertie County, North Carolina",,"21,282","7,560","13,317",97,103,17,188
"Bladen County, North Carolina",,"35,190","21,333","12,410",905,75,8,459
"Brunswick County, North Carolina",,"107,431","91,787","12,437",893,605,62,"1,647"
"Buncombe County, North Carolina",,"238,318","214,404","15,485","1,225","2,501",350,"4,353"
"Burke County, North Carolina",,"90,912","78,940","6,134",683,"3,273",580,"1,302"
"Cabarrus County, North Carolina",,"178,011","142,042","28,021","1,094","3,678",109,"3,067"
"Caldwell County, North Carolina",,"83,029","76,809","4,181",469,449,61,"1,060"
"Camden County, North Carolina",,"9,980","8,270","1,325",37,151,6,191
"Carteret County, North Carolina",,"66,469","60,142","4,095",346,598,84,"1,204"
"Caswell County, North Carolina",,"23,719","15,170","8,057",103,60,5,324
"Catawba County, North Carolina",,"154,358","132,347","13,338",782,"5,464",63,"2,364"
"Chatham County, North Carolina",,"63,505","52,306","8,648",815,757,51,928
"Cherokee County, North Carolina",,"27,444","25,895",361,380,134,15,659
"Chowan County, North Carolina",,"14,793","9,407","5,095",53,53,32,153
"Clay County, North Carolina",,"10,587","10,319",76,33,24,2,133
"Cleveland County, North Carolina",,"98,078","75,198","20,453",304,798,27,"1,298"
"Columbus County, North Carolina",,"58,098","37,188","17,913","1,964",194,40,799
"Craven County, North Carolina",,"103,505","74,608","23,532",577,"2,147",155,"2,486"
"Cumberland County, North Carolina",,"319,431","172,281","119,637","5,501","7,359","1,394","13,259"
"Currituck County, North Carolina",,"23,547","21,495","1,386",109,159,14,384
"Dare County, North Carolina",,"33,920","32,119",877,161,213,13,537
"Davidson County, North Carolina",,"162,878","142,741","14,755","1,185","2,094",49,"2,054"
"Davie County, North Carolina",,"41,240","37,480","2,644",249,268,6,593
"Duplin County, North Carolina",,"58,505","41,280","15,277",778,243,252,675
"Durham County, North Carolina",,"267,587","142,455","103,694","2,715","12,662",298,"5,763"
"Edgecombe County, North Carolina",,"56,552","22,994","32,575",305,122,30,526
"Forsyth County, North Carolina",,"350,670","238,973","95,288","2,854","6,772",338,"6,445"
"Franklin County, North Carolina",,"60,619","42,329","16,486",547,326,43,888
"Gaston County, North Carolina",,"206,086","167,275","31,952","1,082","2,552",90,"3,135"
"Gates County, North Carolina",,"12,197","7,828","4,066",68,18,11,206
"Graham County, North Carolina",,"8,861","8,081",17,584,29,7,143
"Granville County, North Carolina",,"59,916","38,263","19,880",496,343,48,886
"Greene County, North Carolina",,"21,362","12,483","8,062",466,75,47,229
"Guilford County, North Carolina",,"488,406","293,879","161,435","3,490","19,632",359,"9,611"
"Halifax County, North Carolina",,"54,691","22,325","29,282","2,107",386,36,555
"Harnett County, North Carolina",,"114,678","83,622","24,434","2,103","1,142",166,"3,211"
"Haywood County, North Carolina",,"59,036","57,254",635,329,223,18,577
"Henderson County, North Carolina",,"106,740","99,921","3,316",647,"1,044",207,"1,605"
"Hertford County, North Carolina",,"24,669","8,941","15,023",279,156,8,262
"Hoke County, North Carolina",,"46,952","23,626","15,995","4,783",541,164,"1,843"
"Hyde County, North Carolina",,"5,810","3,825","1,865",38,17,1,64
"Iredell County, North Carolina",,"159,437","133,689","19,387",829,"3,019",81,"2,432"
"Jackson County, North Carolina",,"40,271","34,457",758,"3,940",365,16,735
"Johnston County, North Carolina",,"168,878","137,109","26,285","1,499","1,129",135,"2,721"
"Jones County, North Carolina",,"10,153","6,581","3,294",71,32,2,173
"Lee County, North Carolina",,"57,866","43,773","11,816",678,553,67,979
"Lenoir County, North Carolina",,"59,495","33,800","24,346",347,285,98,619
"Lincoln County, North Carolina",,"78,265","72,126","4,460",303,441,29,906
"McDowell County, North Carolina",,"44,996","42,010","1,791",297,390,23,485
"Macon County, North Carolina",,"33,922","32,693",486,210,216,9,308
"Madison County, North Carolina",,"20,764","20,140",242,58,74,8,242
"Martin County, North Carolina",,"24,505","13,408","10,700",99,75,28,195
"Mecklenburg County, North Carolina",,"919,628","559,482","289,654","7,032","43,619","1,180","18,661"
"Mitchell County, North Carolina",,"15,579","15,168",65,115,50,16,165
"Montgomery County, North Carolina",,"27,798","21,475","5,322",212,455,9,325
"Moore County, North Carolina",,"88,247","73,269","11,922",798,787,140,"1,331"
"Nash County, North Carolina",,"95,840","56,737","35,953",866,854,32,"1,398"
"New Hanover County, North Carolina",,"202,667","164,878","30,319","1,246","2,496",165,"3,563"
"Northampton County, North Carolina",,"22,099","8,800","12,946",113,47,2,191
"Onslow County, North Carolina",,"177,772","136,912","28,578","1,402","3,552",540,"6,788"
"Orange County, North Carolina",,"133,801","104,458","16,272",847,"9,141",72,"3,011"
"Pamlico County, North Carolina",,"13,144","10,192","2,655",83,50,11,153
"Pasquotank County, North Carolina",,"40,661","23,678","15,528",179,475,22,779
"Pender County, North Carolina",,"52,217","41,289","9,355",452,247,26,848
"Perquimans County, North Carolina",,"13,453","9,835","3,359",43,53,2,161
